"issuekey","type","components","storypoint","title","description_text"
"CLI-903","Improvement","Core",13,"Investigate locking down NPM dependencies","When deploying NPM modules, even if we specify exact versions in our package.json file, those dependencies could be less strict in what they choose to use. The end result is that every install of our NPM modules could be different, leading to difficult-to-reporduce bugs.    One solution is to use tools like shrink-wrap or lockdown:    https://www.npmjs.org/doc/cli/npm-shrinkwrap.html  https://www.npmjs.org/package/lockdown    Some goals:    * People can use NPM install from the NPMJS repo like before  * They only get the exact set of direct and indirect dependencies we've tested    There is a concern (as noted in APPTS-1879) that a dependency could be unpublished from NPM. It's unclear how prevalent that is, but it is a possibility.    If we instead decided to host a version of our nodules external to NPMJS, then we'd need to make sure we removed them from the main repo to avoid confusion.  "
"CLI-649","Bug","Titanium",5,"Android build tool warning directs user to run ""ti config""","h5. Description:  I was warned in console of a potential compatibility issue with my build tools. This warned told me to set with ""ti config"". This should be updated to reflect new tools.        h5. Steps to reproduce:  1) Install Android build tools 22  2) Create an android project in studio or CLI and run on emulator or device    h5. Result:  The console warning appears with references to ""ti config""    h5. Expected Result:  The warning should say ""appc ti config"""
"CLI-517","Improvement","Core",5,"Add ""appc test"" command","I would like not to use any NPM commands when using Arrow as I feel it is confusing to jump between the two.    Add `appc test` which passes through to `npm test`"
"CLI-531","Improvement","Core",5,"appc unpublish should support ""--project-dir""","h5. Description:  While closing a related ticket, I tried {{appc run}}, {{appc publish}}, and {{appc unpublish}} from outside the project directory. {{appc unpublish --project-dir}} does not work.    An error is shown like:      h5. Steps to reproduce:  1) Create or use an Arrow project, publish the app  2) From outside the directory, run {{appc unpublish --project-dir <your directory here>}}    h5. Result:  The app does not unpublish, {{appc unpublish}} help does not show support for {{--project-dir}}    h5. Expected Result:  Unpublish support for {{--project-dir}}"
"CLI-615","Bug","Titanium",5,"Unable to run 'appc setup' on io.js","appc won't setup on io.js    "
"CLI-563","Improvement","Security",0,"Alert users when attempting to run an app that belongs to a different org than they are currently logged in as","if the current user is logged in under Org A and tries to run an app created under Org B that fails. The error message is cryptic:    That's fine if the user has no rights to Org B, we shouldn't give any details about it. But if the user _is_ a member of the other org that the app belongs to, we should give more details about why we can't run this app. Specifically we should tell them they are logged in under Org A, the app is part of Org B and that they need to logout and back in under Org B to run it."
"CLI-561","Improvement","Verification",3,"Automatically prompt for new login when session is invalid","Every now and then I get the error we see reported in the Q&A a lot as well:        Logging out (I using {{-D}} to be sure) and in again fixes it.    I think the UX would be better if don't spit out an error but inform the user the session as expired and he needs to login again. Then under the hood logout, clean up whatever we can and present the login again.    "
"CLI-571","Bug","Core",1,"Appc ti -v returns Appc CLI version","When I run {{appc ti -v}} I get the output of {{appc -v}}.    *Steps to reproduce issue*:  1. Run {{appc ti -v}}    *Actual Results*:  Same output as {{appc -v}}    *Expected Results*:  Output should show the local Titanium CLI version."
"CLI-570","Bug","Titanium",8,"Titanium always does full rebuild, forced by encryptJS","When building a Titanium app for iOS Simulator, it always forces a rebuild because *JavaScript files need to be re-encrypted*. This even happens when you set deploy type to development. It does however *NOT* happen when you skip {{appc run}} and use {{ti build}} directly.    This issue makes rebuilds take a lot longer then needed.    h1. To reproduce    1. Create a project.  2. Run the project via AppC ({{appc run -p ios}}) once for an initial build.  3. Run the project via AppC again ({{appc run -p ios}}) and confirm it says: {{Forcing rebuild: JavaScript files need to be re-encrypted}} and later {{Forcing rebuild: ApplicationDefaults.m has changed since last build}}.  4. Run the project via AppC with development deployType ({{appc run -p ios -D development}}) once for a new build with changed deployType.  5. Run the project via AppC with development deployType ({{appc run -p ios -D development}}) again and confirm it says the same.  6. Run the project via Ti ({{ti build -p ios}}) once to generate a new build.  7. Run the project via Ti ({{ti build -p ios}}) again to confirm that this time it does not force a rebuild.    Found by this user:  https://community.appcelerator.com/topic/203/appcelerator-forcing-a-rebuild-for-javascript-re-encryption"
"CLI-585","Bug","Core",3,"Can not login in Appcelerator Studio","Can not login to Appcelerator Studio, I'm receiving the error:  ERROR | Required body parameter: userAgent missing  "
"CLI-579","Bug","Core",5,"Errors updating Core CLI when Studio is open","When trying to update the Core CLI from terminal (via {{appc use latest}} or {{appc setup}}) I get errors when Studio is open.    *Steps to reproduce issue*  1. Open Studio  2. Run {{appc use latest}} (do not already have the latest version installed)  -----------------------  3. Delete the latest folder from {{~/.appcelerator/install}}  4. Close Studio  5. Run {{appc use latest}}    *Actual Results*  2. Install of latest version fails  5. Install succeeds    *Expected Results*  Installs of latest version succeed    *Notes*  This makes it very difficult to install CLI updates from inside Studio.  I tested this many times. 10/10 installs succeeded with Studio closed, 10/10 installs failed with Studio open."
"CLI-577","Improvement","Core",5,"Need to add proxy logic to underlying appc process such as acs","same as we're using here     https://github.com/appcelerator/appc-cli/blob/c0f602a2992ee27fbe8c7a1328eedec422f912a7/lib/constants.js#L200    this code above should reference APPC_CONFIG_PROXY env    and this code should be refactored    https://github.com/appcelerator/appc-cli/blob/7a134ba6a50624ea9046b1d7578547b8760b21ee/lib/commands/login.js#L511    we need the front-end and the appc cli to both respect the proxy."
"CLI-574","Improvement","Core",3,"Login validation error message not passed through prompt from CLI","Please refer to Studio ticket.  https://jira.appcelerator.org/browse/TISTUD-7325    Studio is listening to CLI through socket communication through request and response protocol model.  In case of Sign-in, If user is not provided any credentials and entered Ok, will get the proper error message from CLI. The response looks like below.    {""type"":""error"",""message"":""validate error: you must enter a value for the Appcelerator ID"",""question"":[{""type"":""input"",""name"":""username"",""message"":""Appcelerator ID:""},{""type"":""password"",""name"":""password"",""message"":""Password:""}]}    If user provided wrong credentials, then CLI is not returning the error message from the server. Response looks like below.    {""type"":""question"",""question"":[{""type"":""input"",""name"":""username"",""message"":""Appcelerator ID:""},{""type"":""password"",""name"":""password"",""message"":""Password:""}]}    Expected: CLI should send error message, so that same will be passed back to the studio user, they can able to see what went wrong."
"CLI-573","Bug","Core",0,"Random ""Cannot find module"" errors when updating via ""appc use latest""","Every now and then people get {{Cannot find module}} errors during {{appc use latest}} and sometimes with {{appc run}}.    * https://community.appcelerator.com/topic/123/the-login-server-returned-an-error/19  * https://community.appcelerator.com/topic/150/can-not-login-to-appcelerator-studio/5  * https://community.appcelerator.com/topic/219/error-cannot-find-module-after-update-0-2-255  * https://community.appcelerator.com/topic/185/error-cannot-find-module-arrow/2 (slightly different, during appc run﻿)"
"CLI-586","Improvement","Core",3,"Clean up appc new arguments","Clean up the undefined arguments passed to titanium during app creation. This could cause problems.    "
"CLI-582","Bug","Core",2,"CLI prompts for login twice when --env option is given in the command","The cli prompts twice for login when --env option is given during appc new or appc run command. However, if username and password are provided as part of the command then it prompts twice for organization even if a valid --org-id is also passed in the command    Steps to Reproduce:  1. Run the command ""appc new --env preproduction""    Actual Result:  The user is forced to enter username, password and organization selection two times.    "
"CLI-591","Bug","Titanium",2,"Build to an iOS device and then an iOS simulator fails","h5.Description    When building an iOS app, if you build the app for device and then build the device for simulator the build for simulator will fail with the following error    {code: title=error 1}  [DEBUG] [ioslib] [ios-sim] [DEBUG] Session could not be started: Error Domain=NSPOSIXErrorDomain Code=22 ""Installation Failed"" UserInfo=0x7f916347ea40 {NSLocalizedDescription=Installation Failed, NSLocalizedRecoverySuggestion=An error occurred while preparing the app for installation (no bundle identifier was found at the expected path)}  [DEBUG] [ioslib] [ios-sim] Exited with code: 1  [ERROR] Project failed to build after 7s 726ms  [ERROR] An error occurred running the iOS Simulator (ios-sim exit code 1)      From what I see, if I wait the full time required for the rebuild (1 hour) then it seems to work fine.    Setting [this line|https://github.com/appcelerator/appc-cli-titanium/blob/master/hook/titanium.js#L146] to be true makes the build work everytime!    The fix for CLI-588 *does not fix this issue*    h5.Steps To Reproduce    1. Create a new application using {{appc new}}  2. Run the app on simulator using {{appc run -p ios -T simulator}}  3. Run the app on device using {{appc run -p ios -T device}}  4. Run the app on simulator using {{appc run -p ios -T simulator}}  5. Clean the app {{appc ti clean}}  6. Run the app on simulator using {{appc run -p ios -T simulator}}    h5.Actual Result    2. App will be built successfully  3. App will be built successfully  4. App will not be built successfully (see error 1)  6. App will not be built successfully (see error 2)      h5.Expected Result    App should be successfully every time"
"CLI-588","Bug","Titanium",3,"Rebuilding an application for Android emulator fails","h5.Description    When rebuilding an application for Android emulator using 0.2.269 the build exits with the following         Full logs are attached as fullOutput.txt     *If I set encryptJS to true [here|https://github.com/appcelerator/appc-cli-titanium/blob/master/hook/titanium.js#L147] then the build has no problems.*    h5.Steps To Reproduce    1. Create a new application using {{appc new}}  2. Build the application for Android using {{appc run -p android -T emulator}}  3. Rebuild the application for Android using {{appc run -p android -T emulator}}    h5.Actual Result    The build will fail with the output above     h5.Expected Result    The build should pass"
"CLI-604","Bug","Titanium",3,"ENOTEMPTY error when creating titanium project ","Run the following command the first time, the project files are created in */Users/feonsua/work/sandbox1/sandbox2/sandbox3*  Run the command again, a classic project is created under */Users/feonsua/work/sandbox1/sandbox2/app1*, which is one directory up than what was being specified. Then the process is terminated with an error message.        This happens when the --project-dir specified is different from the project name."
"CLI-607","Bug","Titanium",1,"Creating a project with an invalid session errors out after logging in","h5.Description    After a session has been invalidated due to logging in on a different machine when creating a new project the CLI will prompt you to login again and authorize your hardware. After logging in the project creation fails with the below.        Just before this error when running with -l trace the following is output, it appears that the session that the CLI is using in not a valid session.         Full output is attached as fullOuput.txt    *When running {{appc new}} after this failure it does not fail*    h5.Steps To Reproduce    1. Login on machine Y {{appc login}}  2. Login on machine X {{appc login}}  3. Create an app on machine X {{appc new}}  4. Create an app on machine Y {{appc new}}  5. Login when prompted    h5.Actual Result    The project creation will error out with the above    h5.Expected Result    The project creation should be successful "
"CLI-606","Improvement","Core",5,"""appc -v"" should show both the NPM and active version","When we're debugging user problems we ask them to make sure they're on the latest version of the appcelerator NPM package. But the only way to check is:        We should include both the NPM and active version with {{appc -v}}.        Q&A: https://community.appcelerator.com/topic/285/appc-setup-causing-error-with-exit-code-1/2"
"CLI-605","Improvement","Core",5,"Attempt to retry when registry is not available","For the appcelerator front-end (apps-install) need to retry when registry is unavailable.    Will try up to 10 times with each iteration waiting 500 x N (where N= is retry count)"
"CLI-612","Improvement","Core",1,"Support logging in to VPC environment","When one or more VPC environments are configured for an organization, need to allow the user to be able to select the environment to log in.  Currently, logs into the production Node.ACS / ACS environment instead of one provided."
"CLI-611","Bug","Core",1,"Auth code is always required on login after session is invalidated","h5. Description  Whenever a user logs in on a machine after having a session invalidated, an auth code will be required when logging in.    For example:  # Log in to CLI on machine 1 using auth code    # Log in to CLI on machine 2 using auth code    # Attempt to use CLI on machine 1, session will be expired but an auth code will also be requested again      h5. Actual behaviour  A user needs to enter an auth code every time they log in to the CLI after their session is invalidated    h5. Expected behaviour  A user will only need to enter an auth code the first time they log in from a machine"
"CLI-610","Improvement","Core",1,"Device authorization code is referred to with two different terms when authorizing hardware","h5.Description    When authorizing a new machine you will be prompted with the following        And then when selecting how you would like to receive the code you will be prompted with the following        The code should only be referred to as an authorization code, or an activation code. Preferably an authorization code as that is what it is    h5.Steps To Reproduce    1. Logout of your machine with {{appc logout -D}}  2. Login with {{appc login}}  3. Run through the prompts    h5.Actual Result    The device auth code will be referred to using two different terminologies     h5.Expected Result    The device auth code should only be referred to using one terminology "
"CLI-609","Improvement","Core",1,"Improve password masking for appc-logger","see https://github.com/appcelerator/appc-cli/pull/145"
"CLI-614","Bug","Core",3,"Console logs incorrectly that setting org to undefined","There is an org in the session.  Unsure if this means the /user/organizations call to 360 is empty.  I'm not able to duplicate with any of my accounts.  If this is an empty orgs payload from 360 causing it, is there a way to drum up the actual URL and response?  Impersonating this user and hitting the endpoint in platform.appc yields the expected org (below).        user/organizations response:  "
"CLI-613","Bug","Core",1,"If you create an Arrow project with an existing name, then ""ERROR  | { errcode: 230, statusCode: 400 }"" is returned","*Details:* If you create an Arrow project with an existing name, then ""ERROR  \| \{ errcode: 230, statusCode: 400 \}"" is returned.    *Note:*  * This is a *regression* since this does not occur with Appc CLI 0.2.276; released in the wild  * This is *not a cloud issue* since this bug is reproducible if you point Appc CLI 0.2.279 to production    *Steps to reproduce:*  # Run {{appc new}}  # Select *Arrow App*  # Specify an Arrow project name that already existed    *Actual:* ""ERROR  \| \{ errcode: 230, statusCode: 400 \}"" message is returned.  *Expected:* ""ERROR  | App <APP_NAME> already exists."" message should appear instead."
"CLI-621","Bug","Titanium",1,"Running appc ti build -h fails with: 'Cannot read property 'properties' of undefined'","h5.Description    When running the command {{appc ti build --help}} or {{appc ti build -h}} the command errors out with the following error        When running with -l trace I see that the following parameters are passed in to the Titanium CLI  {{ARGS:  [ 'build', '-h', '-e', '-l', '-p', '-l', 'trace' ]}}   or  {{ARGS:  [ 'build', '-h', '-l', 'trace' ]}}    The above     Running the command with Titanium CLI@4.0.0-beta8 works with no issues.  Running the command with 0.2.276(prod latest) and 0.2.279(last preprod version) work with no issues so this is a *regression*.    h5.Steps To Reproduce    1. From the command line run {{appc ti build -h}}    h5.Actual Result    The command errors out with the above    h5.Expected Result    The command should print a useful help section"
"CLI-616","Bug","Titanium",8,"Building to android with SDK 3.5.1.GA fails when using appc cli 0.2.280","h6. This might be related to the encryption fix which went in CLI 2.8.0 : CLI-608  h5.Steps To Reproduce:  1. Make sure appc ali 0.2.280 is installed.  2. Build an app for android device/emulator with sdk 3.5.1.GA.    h5.Actual Results:  1. The build fails with errors:    2. Same app when built with SDK 3.5.1.GA & appc cli 0.2.279 builds successfully.  3. Same app when built with latest 4.0.0 & appc cli 0.2.280 builds successfully.    h5.Expected Results:  1. The build should take place successfully with no errors."
"CLI-622","Bug","Core|Titanium",3,"Wrapped `appc ti module --output json` should not show banner","The {{appc ti module -o json}} command shows the banner, where it shouldn't.    h1. Reproduce    * Run {{ti module -o json}} for the correct output  * Run {{appc ti module -o json}} for the incorrect (with banner) output        h1. Related code    https://github.com/appcelerator/appc-cli/blob/a86886e6636c132eb4daa90551c40066c251994b/bin/appc#L86-L89    h1. Suggested solution    If {{\-o}} and {{--output}} is the current standard for setting the output on any of the bundled CLI's, we should keep this standard and change the code to:        "
"CLI-628","Improvement","Core",5,"Improve Offline with Remote Verbiage","Improve the verbiage when the device is offline, and the app is built with remote security policy."
"CLI-626","Bug","Core",8,"Offline packaging is successful for Android & IOS with CLI 0.2.282","h6.This is a regression. I don't see this issue with appc cli 0.2.276    h5.Steps to reproduce:  1. Install appc CLI 0.2.282.  2. Create an app for android and ios platforms.  3. Go offline.  4. Package the app for both android & ios.    h5.Actual Results:  1. We can package successfully.    h5.Expected Results:  1. We should not be able to package as we are offline & production builds should fail."
"CLI-624","Bug","Core",5,"Platform-SDK: Logout request is incorrect","Calling AppC.Auth.Logout() results in an error in the callback. This is due to an incorrect 'post' rather than a 'get' to the dahsboard /auth/logout endpoint"
"CLI-636","Bug","Core",1,"appc -v returns undefined for NPM version","h5.Description    When running appc -v the NPM version is returned as undefined. This is because it relies on [this pull|https://github.com/appcelerator/appc-install/pull/17] for the NPM package which has not been published yet        h5.Steps To Reproduce    1. Using Appc CLI version 0.2.286 run appc -v    h5.Actual Result    Undefined is returned for the NPM version    h5.Expected Result    The NPM version should be returned and if not available undefined should not be shwon"
