"issuekey","type","components","storypoint","title","description_text"
"CONFCLOUD-5599","Suggestion","Page - Export",1,"Export news (blog posts) to PDF","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-5599].   {panel}  We write daily market summaries using the Confluence news posts feature.  It would be very useful to be able to email these daily summaries (that include tables and attached graphs from Excel) to people outside of the company. """
"CONFCLOUD-14838","Bug","Administration - Look and Feel / Themes",3,"Themes from plugins is still referenced by Confluence after plugin is uninstalled","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-14838].   {panel}  Confluence still uses an uninstalled theme's layout (eg. the font will still be the old plugin's font) as its site layout although the plugin has been uninstalled.  Steps to replicate: # Install a theme plugin # Set the theme as the Site Theme # Uninstall the theme # Confluence theme selection page (http://ConfluenceURL/admin/choosetheme.action) will report that the site is using the default theme. Warnings will be populating the log file:   Customers who used the Classic Theme as a site layout might encounter this warning after they have upgraded to Confluence 2.10.  The work around is to set Confluence site theme to other installed theme."""
"CONFCLOUD-20224","Bug","Page - Export",2,"PDF export for Code Block content is resulting in blank space gap","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-20224].   {panel}  h3. Summary When exporting a page with large (multi-page) code block content, the pdf file would contain block space gap within the code block content  h3. Steps to Reproduce # Create a page and add a code block macro with enough content to span more than one page in the generated pdf # Insert content into the code block macro # Export page to PDF   h3. Expected Results # It should properly export the page to PDF without blank space gap  h3. Actual Results # PDF export for Code Block content is resulting in blank space gap.   """
"CONFCLOUD-22575","Suggestion","Integrations - JIRA",5,"Support customisation of fields displayed by JIRA macro when showing a single issue","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-22575].   {panel}  In a Confluence instance with an applink set up to JIRA I would like to be able to use the """"shortcut"""" version of the jira issue macro like this:    At the moment the columns attribute is ignored and the key/description/status is displayed (see attachment). I would prefer that only the specified columns are displayed, perhaps with a vertical or horizontal layout attribute."""
"CONFCLOUD-24540","Bug","Editor - Comment Editor",3,"Viewfile macro can't find attachment if the page title contain character after colon (:)","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-24540].   {panel}  h3. Summary of The Bug  When page title have any character after a colon( : )    office connector can't find the office files attached to the page. If colon is the last character on the page title, attached office files searchable by view office macro  h3. How to reproduce the bug  # Create a page (example: 'Office connector:') !Officepage.png|thumbnail! # Attached office file into the page !attached.png|thumbnail! # Try to view it using view office plugin !Works.png|thumbnail! # Change the page title to contain any character after colon (example: 'Office connector:test') !test.png|thumbnail! # Try to view it using view office plugin !broke.png|thumbnail! # Attached files can't be seen on """"File Name"""" fields (i) When viewed with _Developer Tools_, the {{attachmentsearch.action}} GET request returned HTTP 404 error code.  h3. Workarounds Option 1 - Rename the page to remove the ':'  Option 2 - Use the insert markup feature: # From the editor toolbar, expand the '+' menu. # Choose 'Markup'. # Insert the following markup (change accordingly):  # Save  h1. Work performed * Changes are backwards-compatible in the plugin, committed in https://bitbucket.org/atlassian/officeconnector issue/CONF-24540 . 2 backwards-compatibility issues were raised: CONFDEV-10156 and CONFDEV-10157. * Changes in confluence-core are still on issue/CONF-24540, and awaiting implementation of a few review comments before being committed. """
"CONFCLOUD-25278","Bug","Page - Export",2,"Page margin CSS in PDF Stylesheet can OOME and cause high load on Confluence during PDF export","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-25278].   {panel}  h5. Steps to reproduce: # Add the following CSS in your Space PDF Stylesheet:  # Export a Page to PDF and will ended up at System Error page with the following stacktrace:  # Export the Space to PDF and it will take forever and throw the following in the stacktrace:   h5. Findings It seems that this can only be reproduced if the value of the margin is bigger than 5in.  h5. Workaround Follow the instructions from the following KB article: http://confluence.atlassian.com/display/CONFKB/Exporting+Page+or+Space+to+PDF+Fails+and+Causes+High+Load+or+OutOfMemoryError"""
"CONFCLOUD-26016","Bug","Page - Export",2,"pdf export fails to retrieve image if the image on the page is a web image and url contains ""download/attachments""","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-26016].   {panel}  If you insert a web image to a page whose url contains the text {{download/attachments}} (such as this image {{http://confluence.atlassian.com/download/attachments/139467/confluence-3-0-profile-view.png?version=2&modificationDate=1243658607572}}), and then export that page as pdf, the image will not resolve, and you will get a warning in the logs    The pdf exports continue, but where the image should've been, is instead an empty space.  h4. Workaround: Add the problematic image as an attachment first, and then replace the web image with the attachment on the page before exporting."""
"CONFCLOUD-26780","Bug","Editor - Comment Editor|Page - Export",2,"Export to PDF removes non-Latin Unicode under viewfile macro","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFSERVER-26780].   {panel}  *Problem Description* In exporting to PDF, some non latin unicode character like Russian character, Chinese character or Turkish character will not be exported properly to pdf (lost), if they are inside viewfile macro. Even though the font is already specified to for example verdana, and verdana.ttf is already uploaded in _Confluence Admin >> PDF Export Language Support_, the character inside viewfile macro is not exported.  *Steps to reproduce* # Include any non unicode character on office document (I use russian in this case) # You can use either word (doc and docx), excel (xls and xlsx), or powerpoint (ppt or pptx) format # Install the font as mentioned in [this documentation|https://confluence.atlassian.com/display/DOC/Creating+PDF+in+Another+Language] # Create a page # You can put some non latin character on the editor as well # Attach the document files # Use view file macro to display the attachment in the page # Export to PDF and notice that the nonlatin character in page is exported, but not the one inside viewfile macro"""
"CONFCLOUD-27259","Suggestion","Integrations - JIRA",3,"When using the Issuelinks field column in the JIRA macro, there are no hyperlinks like in the Issue Navigator in JIRA","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-27259].   {panel}  Customer requests that the Linked Issue field column, when added to the JIRA Macro in Confluence, contain hyperlinks like when you add the field in the Issue Navigator in JIRA.  """
"CONFCLOUD-28229","Suggestion","Editor - Comment Editor",3,"Use Ctrl-Shift-V to 'paste unformatted'","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFSERVER-28229].   {panel}  The convention is that Ctrl-v pastes and Ctrl-Shift-V pastes unformatted text."""
