"issuekey","type","components","storypoint","title","description_text"
"CONFSERVER-5599","Suggestion","Page - Export / Import",1,"Export news (blog posts) to PDF","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFCLOUD-5599].   {panel}  We write daily market summaries using the Confluence news posts feature.  It would be very useful to be able to email these daily summaries (that include tables and attached graphs from Excel) to people outside of the company. """
"CONFSERVER-5942","Bug","Search - Core",2,"Indexing with 'Other' analyzer removes numbers from search","""When indexing language is set to """"other"""", searches ignore numbers.    Example:    Page contains string """"foo""""    Search for """"foo123"""" returns string """"foo"""" as matching    h5. Workaround:  Switch to a different Indexing Language besides 'Other' then rebuild the index  """
"CONFSERVER-14838","Bug","Themes / Theming",3,"Themes from plugins is still referenced by Confluence after plugin is uninstalled","""{panel:bgColor=#e7f4fa}   *NOTE:* This bug report is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding bug report|http://jira.atlassian.com/browse/CONFCLOUD-14838].   {panel}  Confluence still uses an uninstalled theme's layout (eg. the font will still be the old plugin's font) as its site layout although the plugin has been uninstalled.    Steps to replicate:  # Install a theme plugin  # Set the theme as the Site Theme  # Uninstall the theme  # Confluence theme selection page (http://ConfluenceURL/admin/choosetheme.action) will report that the site is using the default theme. Warnings will be populating the log file:      Customers who used the Classic Theme as a site layout might encounter this warning after they have upgraded to Confluence 2.10.    The work around is to set Confluence site theme to other installed theme."""
"CONFSERVER-21870","Bug","Server - Platform",3,"""maximum number of expressions in a list is 1000"" error when user is in more than 1000 groups visits dashboard","""In *Oracle*, if a user belongs to more than 1000 groups and visits the dashboard, the following error occurs:      The problem is that com.atlassian.confluence.spaces.persistence.dao.hibernate.HibernateSpacesQueryBuilder specifies the full list of groups the user is a member of in the """"in"""" clause.  It's unexpected for a user to be in more than 1000 groups, but it can happen, particularly if Confluence is delegating user management to a large LDAP server."""
"CONFSERVER-22154","Bug","Integrations - JIRA",2,"JIRA Issues Macro not following Confluence general configuration date/time format","""It seems that the {jiraissues} macro for Confluence is not following the date format as set in the Confluence general configurations. The dates display in dd/MMM/yy format (with no timestamp), regardless of formatting of the """"Date Time Format"""" or """"Date Format"""" in general configs. Please see the attached screenshots for more detail.    FWIW I tested this in Confluence 3.3.3, 3.4.7, and 3.5.0, using {jiraissues} macro to retrieve issues from JAC.    There's an pretty old (fixed) ticket on this topic, but it's unclear whether it's the same bug:  http://jira.atlassian.com/browse/CONF-1403"""
"CONFSERVER-22287","Bug","Editor - Front end - Page / Comment",2,"When Inserting Link Insert Button Not Clickable When Using Mouse Right-Click to Paste","""h3. Summary  """"Insert"""" button is greyed out when using right mouse click to paste    h3. Steps to Reproduce  # Copy a URL into your clipboard.  # Click Insert > Link  #* Alternatively, Press ⌘K / ctrl + K to create a hyperlink  # Click Web Link  # Right-click in URL field/ Address field with mouse and select Paste   !CONFSERVER-22287-replication steps.png|thumbnail!     h3. Expected Results  The """"Insert""""button can clicked and link can be inserted    h3. Actual Results  The """"Insert"""" button is greyed out.    h3. Workaround  * Press Enter/Return key after pasting the link  * Press Space bar after pasting the link   * Use Ctrl + V instead  * Type and then delete any character into the """"Address"""" field; this enables the button.    h3. Additional notes  This most likely can be fixed by adding a JavaScript check for """"Right click > Paste""""."""
"CONFSERVER-22339","Bug","Integrations - JIRA",5,"JIRA Issues Macro isn't correctly displayed when exported, in PDF and Word, if the text inside columns is too wide.","""h4.Problem  JIRA Issues Macro isn't correctly displayed when exported, in PDF and Word, if the text inside columns is too wide.  The problem lies directly with the export function.    h4.Fix  There is none yet.    h4.Workaround  Use as landscape with this PDF Stylesheet:  """
"CONFSERVER-22575","Suggestion","Integrations - JIRA",5,"Support customisation of fields displayed by JIRA macro when showing a single issue","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFCLOUD-22575].   {panel}  In a Confluence instance with an applink set up to JIRA I would like to be able to use the """"shortcut"""" version of the jira issue macro like this:        At the moment the columns attribute is ignored and the key/description/status is displayed (see attachment). I would prefer that only the specified columns are displayed, perhaps with a vertical or horizontal layout attribute."""
"CONFSERVER-50755","Bug","Apps - Team Calendar",2,"Cannot subscribe to iCal calendar","""I'm trying to subscribe to a calendar but get the message that the calender doesn't seem to be in iCal format.  I tested the attached file with these validators: http://icalvalid.cloudapp.net/ http://severinghaus.org/projects/icv/  and the calendar validates fine, funnily, the last validator makes use of iCal4j which is implemented in Team Calendars as well. Please see the attached log and ics file for more info.   Thanks a lot, Peter  """
"CONFSERVER-23993","Suggestion","Content - Sharing",3,"Share button greyed out, not obvious that an email address needs to be 'selected' first","""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Server*. Using *Confluence Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/CONFCLOUD-23993].   {panel}  Steps to reproduce:  * Click the share button to display the pop-up  * Type an email address  * Hit TAB  * The email is left in the text box. There is no error message yet the """"share"""" button is greyed out (!)    !confluence share.png!"""
