"issuekey","type","components","storypoint","title","description_text"
"DAEMON-5","New Feature","appcd-core",13,"appcd: JSON response filtering","""All the ability to filter JSON responses based on criteria from a dispatcher path.    For example, requests to `/appcd/status/system` would return only the system information:    """
"DAEMON-1","New Feature","appcd-core",13,"appcd: Integrate hook system into appc daemon","""The appc daemon needs to provide a evented hook system for plugins to use services to use and expose functionality to other services.    The hook system is based on the concepts of the hook system in the Titanium CLI. The main differences are the new hooks system will be based on ES6 promises.    The event names should follow the convention of """"module:foo.bar""""."""
"DAEMON-28","New Feature","appcd-plugin-amplify",13,"@appcd/plugin-amplify: Authentication service","""The AMPLIFY platform appcd plugin will use the amplify-platform-sdk to perform authentication. This service will also automatically refresh access tokens."""
"DAEMON-18","Story","appcd-plugin-amplify",13,"@appcd/plugin-amplify: AMPLIFY platform daemon plugin","""The AMPLIFY Platform appcd plugin (@appcd/plugin-amplify) is responsible for authentication. It contains services authenticating against Axway ID and retrieving, refreshing, and invalidating access tokens.    This plugin eventually will also contain the entitlements service."""
"DAEMON-11","New Feature","appcd-core",8,"appcd: Support for --config and --config-file options","""It would be useful if the appcd cli supported a {{\-\-config}} and {{\-\-config\-file}} options for the """"start"""" and """"restart"""" commands."""
"DAEMON-10","New Feature","jdklib",5,"jdklib v2","""jdklib is responsible for detecting the installed Java development environment.    jdklib needs to expose the new detect friendly interface, namely separating the search paths from the actual detection code."""
"DAEMON-4","New Feature","appcd-core",13,"appcd: Add analytics facilities","""The appc daemon needs to provide a mechanism for services and the daemon itself to generate analytics events. These events are then sent to the Appcelerator cloud so that the products can be improved. Analytics payloads must be anonymous.    Analytics payload will include:  * Machine ID  * Session ID  * Timestamp  * Operating system  * CPU architecture (32/64-bit)  * Number of CPUs  * Total system memory  * Installed appcd plugin info  * appcd configuration  * Event name  * Event type (action, error, etc)  * Event metadata    All events must be persisted to separate files disk prior to sending to the cloud. Only one process can send an event at any given time.    The endpoint will be https://api.appcelerator.net/p/v2/partner-track. As a reference, here's Appc CLI's analytics library: https://github.com/appcelerator/appc-platform-sdk/blob/master/lib/analytics.js.    Appc Daemon's guid:  * Production: ea327577-858f-4d31-905e-fa670f50ef48  * Preprod: 14c84daf-b01e-486c-96d3-b8f66da44481"""
"DAEMON-2","New Feature","appcd",13,"appcd: Add support for distributable Node executable","""The appc daemon needs the ability to lock down the Node.js version so that native modules can be pre-compiled. It currently has a placeholder for running a specific Node executable.    The Node executable will be downloaded from the registry server. Both 32 and 64-bit Node executables will be available. The required Node.js version will be the latest LTS version, currently 4.4.3. This will most likely change to 6.2.0 LTS October 2016."""
"DAEMON-13","Improvement","appcd-core",3,"appcd: Fix source/user agent support","""For analytics, the daemon records the client's """"user agent"""". This feature is currently implemented, but it's named """"userAgent"""" which was determined to be misleading.    We need a better term to describe this feature and a way to describe a client type, description, and version, possibly as a string instead of an object.    NPM has a user agent string that looks like {{npm/2.15.1 node/v4.4.3 darwin x64}}."""
"DAEMON-3","Improvement","ioslib",8,"node-ios-device: Re-run node-pre-gyp if binding doesn't exist","""node-ios-device v0.9.0 uses node-pre-gyp. When it is npm installed, node-pre-gyp downloads the pre-compiled binary. However, if the system Node.js version is changed, then node-pre-gyp needs to be re-run. In order for this to work, node-pre-gyp must be executed synchronously."""
"DAEMON-6","New Feature","node-appc",13,"appcd: Filesystem watcher","""androidlib, ioslib, jdklib, and windowslib need a filesystem monitoring library that can be notified when a specific path changes.    Node has a built-in {{fs.watch()}} function which works fine on Linux and Windows, but doesn't work well on OS X where it doesn't report the correct file path. This can be fixed by using the {{fsevents}} module.    The {{chokidar}} module comes close to solving this need, but I discovered two blocking bugs: one with watching paths that do not exist and one with nested paths. It also currently has 39 open issues, some of which are a little scary sounding. Additionally, {{chokidar}} uses {{readdirp}} which apparently has performance issues due to all of the file stating."""
"DAEMON-32","Bug","jdklib",1,"Windows: jdklib v2 - If you move your JDK while running jdklib.watch(), then ""TypeError: Path must be a string"" error is returned","""*Details:* On Windows, if you move your JDK while running jdklib.watch(), then {{TypeError: Path must be a string}} error is returned.    *Notes:* This is not reproducible with JDK on Mac.    *Steps to reproduce:*  # Make sure you are using Node 4.X.X on Windows  # Clone and run {{npm install}} on https://github.com/appcelerator/jdklib  # Symlink to the above built jdklib v2  # Run this Node script:    # Find your JDK and move it    *Actual:*  {{TypeError: Path must be a string}} error is returned:      *Expected:* No errors should be returned while watching the JDK."""
"DAEMON-33","Bug","androidlib",1,"Windows: androidlib v2 - If you call androidlib.detect(), then an empty array is returned for the results","""*Details:* If you make a androidlib.detect(), then an empty array is returned for the results.    *Notes:*  * This does not appear on Mac.  * ANDROID_SDK environment variable is set.  * Android SDK tools and platform-tools are set in the PATH.    *Steps to reproduce:*  # Make sure you are using Node 4.X.X  # Clone and run {{npm install}} on https://github.com/appcelerator/androidlib/tree/v2; make sure it's v2 branch  # Symlink to the above built androidlib v2  # Run this Node script:      *Actual:* An empty array appears for SDK.      *Expected:* There should not be an empty array for SDK."""
"DAEMON-30","Bug","appcd-core",5,"appcd status: Display the correct status if the daemon is not running","""If the Appc Daemon is not running and you run {{appcd status}}, it outputs:        It should output a more readable error for both """"report"""" and """"json"""" output modes."""
"DAEMON-29","New Feature","appcd-core",5,"appcd status: Add support for --json option","""The {{appcd status}} command needs to support outputting the status in a human readable """"report"""" format as well as JSON format.    Currently only the JSON output is supported."""
"DAEMON-31","Improvement","appcd-core",5,"Allow for multiple requests over the same WebSocket connection","""Currently the Appc Daemon only allows a single request over a single WebSocket connection. This encourages clients to establish multiple simultaneous connections. This is technically unnecessary.    The Appc Daemon should not close the socket when a request ends, but rather send a """"request closed"""" message and let the client determine if it should close the connection.    Be sure to update the wiki page under the """"Node.js Client"""" section: https://wiki.appcelerator.org/display/Daemon/Appcd+Client."""
"DAEMON-35","Improvement","appcd-core",5,"appcd-core: Replace ""pidusage"" with ""process.cpuUsage()""","""The daemon uses a NPM module called """"pidusage"""" to monitor the CPU usage, but this is no longer necessary since Node 6 includes a built-in {{process.cpuUsage()}} function. https://nodejs.org/dist/latest-v6.x/docs/api/process.html#process_process_cpuusage_previousvalue    Aside from removing a dependency, it's going to be more efficient to use Node's built-in {{process.cpuUsage()}} because """"pidusage"""" relies on file I/O and spawning {{ps}} and {{wmic}}."""
"DAEMON-36","Bug","node-appc",13,"node-appc: fs watch doesn't properly handle symlinks","""The filesystem watch function doesn't properly handle symlinks. It doesn't check if a file/directory is a symlink.    The problem is when there's a symlinked directory to a parent directory or a directory that is being watched.    The fs watcher needs to detect a symlinked directory, then watch the real path, not the symlink. We still need to track the symlink directory, but it needs to make sure that changes to the real path are propagated to the watcher of the original path."""
"DAEMON-39","New Feature","Tooling",13,"appcd: Create 'package' task for top-level gulp file","""The appcd daemon is made up of the bootstrap, core, a bunch of micro packages, and a bunch of plugins. While each of these can be published individually to NPM, it might be better to generate a pseudo """"appcd"""" package that combines all of the appcd-* {{package.json}} files together.    This would save hundreds of MB of hard drive space.    Furthermore, we may want to take it a step further and declare the bootstrap, core, micro packages, and plugins as """"bundledDependencies"""" and include them in the package. This would allow us to only publish """"appcd"""" to npm instead of dozens of modules every release. This would also make locking down versions much easier."""
"DAEMON-50","New Feature","appcd-response",5,"appcd-response: Add i18n system","""The Appc Daemon currently does not have any sort of i18n facilities unlike the Titanium CLI. This should be solvable using a logger middleware and a gulp task to generate the i18n files."""
"DAEMON-47","Improvement","Tooling",2,"Remove dependency on 'optional-dev-dependency'","""As a way to deal with dependency management, appcd uses """"optional-dev-dependency"""", specifically when the plan was to publish each micro-package as a separate NPM module. However, with the introduction of the {{gulp package}} task and the use of yarn links, there's no need for the """"optional-dev-dependency"""" module anymore."""
"DAEMON-46","Improvement","General",2,"appcd-*: Replace use of 'temp' module with 'tmp'","""In an attempt to standardize on a temp directory/file library, ensure we are using the tmp (https://www.npmjs.com/package/tmp) module."""
"DAEMON-45","New Feature","appcd-http",8,"appcd-http: Add unit tests","""The appcd-http package has some unit tests, but code coverage is lacking."""
"DAEMON-44","New Feature","appcd-http",8,"appcd-http: Port implementation from prototype","""Add the webserver and router from prototype to the appcd-http library."""
"DAEMON-43","New Feature","Tooling",5,"Create CI script","""The Appc Daemon needs a Jenkinsfile script that:    * Installs Node 7.6.0 or newer  * Installs NPM  * Installs Yarn  * Clone appc-daemon repo  * Runs: {{yarn}}  * Runs: {{gulp check}}  * Runs: {{gulp coverage}}  * Runs: {{gulp package}}  * Generates report from """"check"""" output, """"coverage"""" output, and package output and also includes build information  * Stores the report in some cloud-based data store    See https://github.com/appcelerator/client-generator/blob/master/Jenkinsfile for an example. Also see https://github.com/appcelerator/jenkins_dsl/blob/master/jobs/appc_cli.groovy.    -To build the bundled distribution which includes all NPM dependencies, we will need to kick off a Jenkins job on multiple slave Jenkins machines to bundle platform specific bundles. Each Jenkins slave would run {{gulp package-bundle}} instead of {{gulp-package}}, then upload the resulting tarball to Axway's Artifactory server (and possibly also S3 as a backup). We need 5 Jenkins slaves: OS X (64-bit), 64-bit Windows, 32-bit Windows, 64-bit Linux, and 32-bit Linux.-    The platform specific bundling has been moved to DAEMON-77.    The report generation has been moved to DAEMON-78."""
"DAEMON-42","New Feature","appcd-http",2,"appcd-http: Add default served root","""appcd-http needs a default served root just in case one is not specified when a web server is started."""
"DAEMON-41","Improvement","appcd-nodejs",8,"appcd-nodejs: Add unit tests","""Need to create unit tests for appcd-nodejs."""
"DAEMON-40","Bug","appcd-nodejs",5,"appcd-nodejs: Need to download signed node executable on macOS","""Downloading the node executable in the tarball is not signed and shows a dialog if the firewall is enabled, which is going to be often. Instead, we need to download the pkg installer and manually extract the node executable."""
"DAEMON-53","Improvement","Tooling",2,"Root coverage task should not stop on failures","""When running {{gulp coverage}} in the root, we should run each package's coverage tests and continue even if one or more fail, then at the very end do the {{process.exit(1)}}."""
"DAEMON-52","Improvement","Tooling",3,"Start/restart daemon when watching in dev mode","""To speed up development, it would be nice if the gulp watch task would restart the daemon when it detects a file has changed and has rebuilt the packages."""
"DAEMON-51","Improvement","appcd-dispatcher",5,"appcd-dispatcher: Add Koa middleware function","""Instead of having the daemon patch web requests into the dispatcher, just have the dispatcher return a Koa middleware that allows appcd-dispatcher to just do the routing."""
