"issuekey","type","components","storypoint","title","description_text"
"DM-9","Story","SAT|TCT",1,"Open up LSST software mailing lists","""We all benefit from making LSST software development as open as possible and conducive to outside volunteer contributions (*). One way to increase community involvement is to open up our development mailing lists to the public, analogous to the way other open source projects do. For example, we could have:  * software-devel@lsstcorp.org: the development mailing list, equivalent to current lsst-data * software-users@lsstcorp.org: the users mailing list, equivalent to current lsst-dm-stack-users mailing list (but it could possibly be replaced by StackOverflow/Confluence Questions) * lsst-dm@lsstcorp.org: internal, DM-staff only mailing list, for the *rare* discussions/notices that should go out to staff only.  (*) Though we don't rely on them for meeting the project specs (legally required disclaimer :) )."""
"DM-71","Story","Database",8,"Data Distribution Design v1","""Need to come up with detailed design covering how we will deal with data distribution: managing multiple replicas, recovering from faults, adding new nodes to the cluster, registering new data from L2 ingest and user data (L3)."""
"DM-68","Bug","Qserv",0,"Qserv should fail when table not registered in CSS","""""""Table does not exist"""" message from CSS is currently ignored and query proceeds. Example, a query """"select count(*) from t"""" where t does not exist will successfully return 0 rows."""
"DM-52","Story","Qserv",3,"Qserv configuration - detailed design","""Detailed design covering how all Qserv components will be configured for runtime. """
"DM-78","Improvement","Developer Infrastructure",1,"Save a git-branch when a forced push is detected","""Create a gitolite hook that will save a branch when a forced push is detected.  E.g., if we have a ticket: 'tickets/DM-AAAA' and someone rebases it and pushes  with '--force' before applying the update --- then the hook will branch off the old state into (say):  backups/tickets/DM-AAAA/NNNN where NNNN is a monotonically increasing number (per branch)."""
"DM-148","Improvement","afw",1,"Improve naming of getters in AmpInfoTable","""The names of the methods to get values from a record on AmpInfoCatalog are potentially confusing.    This is because the convention is to call the getters get[attributename].  We could change the method names in the AmpInfoCatalog, or add methods in the SWIG wrapper."""
"DM-98","Bug","ip_isr",2,"clean up isr utility code","""There is some commented code in isr.py.  This should be removed or updated so that it works."""
"DM-228","Story","Qserv",8,"Setup dev test environment","""Setup whole Qserv environment, including installing data set, and validate it by running some simple queries. Suggest changes/improvements as appropriate."""
"DM-224","Story","Qserv",3,"Switch to MariaDB","""We should switch Qserv to the MariaDB Foundation based MySQL."""
"DM-213","Story","Qserv",5,"Setup multi-node testbed","""It'd be useful to test Qserv using Winter2014 or Summer2014 data set on a multi-node cluster, just to exercise all pieces of the software and double check we are not missing anything."""
"DM-202","Story","Qserv",8,"Qserv: unit testing (query execution) ","""Design and build toy prototype of a test framework for testing query execution module. This might require a mock framework, as we want to be able to test things in isolation, without testing everything around the query execution module at the same time. This is related to DMTF-16570-21."""
"DM-199","Story","Qserv",20,"Develop new master-worker result system ","""Reimplement how results are returned from worker to the czar. Currently it relies on mysqldump, which is fairly inefficient. This is related to DMTF-1650-045"""
"DM-242","Story","afw",3,"switch from '.' to '_' in afw::table fields","""We've been mapping '.' to '_' in afw::table I/O, which unnecessarily complicates lots of things.  We'd like to switch to using '_' in the field names themselves, which requires ending this mapping in I/O, but we need to be backwards compatible.  So we'll add a version to the FITS headers, and continue the mapping if the version is not present or is less than some value.  Until we do this, the new field names being used in meas_base won't round-trip."""
"DM-278","Story","Qserv",1,"Improve handling errors occuring in AsyncQueryManager","""AsyncQueryManager is initialized based on configuration file, if the configuration is invalid, an exception should be thrown (eg in _readConfig()) and gracefully handled upstream."""
"DM-273","Story","Developer Infrastructure",1,"Develop and then create the organizational structure for DM Confluence space","""Before we start populating the DM Confluence space with active pages, we should define an overall organizational structure/taxonomy."""
"DM-272","Improvement","Developer Infrastructure",2,"Move TCT-relevant  twiki documentation to Confluence","""Congregate all the trac TCT-relevant documents (standards, policies, guidelines, meeting history) onto Confluence."""
"DM-271","Story","Continuous Integration",100,"Setup the new Buildbot CI system","""Setup the Buildbot 0.8.8 testbed for the DM environment.  This includes: (1) setting up slaves on the set of common OS on which the DM stack runs; (2) creating a new continuous integration slave using the new eupsPkg-based build and distribution support,  Definition of done: * Every git change of master should trigger a build of master * If a build failed, an e-mail will be sent to lsst-data (if the build succeeds, nothing happens) * Failures due to internal buildbot issues (e.g., config problems, transient system availability issues, timeouts, etc.) should go to the buildbot owner. * Allow user-triggered builds via web page (with specified refs to be built), with a common user (until we get LSSTC LDAP directory hooked up). It's understood that locking may not be fully implemented/fleshed out in this story. * It should be possible for a user on lsst-dev to easily setup the stack for either a failed or a successful build. """
"DM-280","Story","meas_base",5,"clean up multiple aperture photometry code","""I've been doing some minor work on the HSC-side ApertureFlux algorithm, and I wanted to record some concerns here (from both me and RHL) that should be addressed in the new meas_base version:  - We should consider merging ApertureFlux and EllipticalApertureFlux into the same algorithm (with a config field to choose whether to use elliptical apertures).  We could still register it twice, with a different default config value, and this should eliminate a lot of code duplication.  We could also consider having them inherit from a common base class (instead of having EllipticalApertureFlux inherit from ApertureFlux, as is done now).  - We should test that the threshold at which we switch from Sinc to naive apertures is obeyed exactly.  - We should create a flag for the failure mode in which an aperture cannot be measured because we go off the edge of the image, and test that it appears at the right point.  If possible, we should set this flag and measure what area we can within that aperture, instead of just bailing out.  - (Somewhat off-topic) We should consider having utility functions on SourceSlotConfig to set all slots to None for use in unit tests."""
"DM-290","Story","Qserv",8,"Eliminate dependence of query analysis on parser and antlr","""I would like to write and compile query analyzer code completely independently of the parser and ANTLR (transitively). This doesn't seem to work right now. This is not currently possible.  This might take any where from a day to a week. (I'm not sure if we can finish anything in half a day, if you include the testing, review, feedback, and revision process, but perhaps unit testing will make that faster).  Updates to follow after the scope is estimated.  Dependencies to be broken: query --> parser, antlr (due to predicate depending on antlr nodes) qana --> parser, antlr """
"DM-298","Story","Qserv",1,"restarting mysqld breaks qserv","""Restaring mysqld results in unusable qserv (even if the restart happens when qserv is completely idle). The error message is:  ERROR 2013 (HY000): Lost connection to MySQL server during query This happens most likely because qserv caches the connection, which becomes invalid when server is restarted. I am guessing the same will happen when there is a long period of inactivity (the connection times out).  (transferred from trac 2853)"""
"DM-296","Story","Qserv",5,"fix namespaces in all Qserv core modules","""This was suggested by the code review for ticket 1945 (https://dev.lsstcorp.org/trac/wiki/SAT/CodeReviews/1945), pasted below:  common/src/*:  While it's not required by the coding standards, I'm a big proponent of using namespace scopes in .cc files, which usually save you from needing namespace aliases and will certainly save you from having prefix every declaration with qserv::.  At some point I'd recommend changing the header file extension from .hh to .h to match the rest of the LSST DM code, unless it's a big backwards compatibility issue.  (transferred from trac ticket 2528)"""
"DM-313","Story","Qserv",2,"cleanup includes in Qserv core modules","""Includes need cleanup: group into standard lib, boots and local, sort as appropriate etc. Also, unify forward declarations."""
"DM-309","Story","Qserv",8,"Jira for Qserv","""Jira setup for Qserv, includes things like adding new tasks, transferring tasks from trac, epic/story/task division, assigning story points, setting scrum board, just learning things and more..."""
"DM-322","Story","Qserv",2,"Trim python importing by czar in app.py","""Clean up the way modules are imported in qserv master, use relative import when appropriate instead of lsst.qserv.master.<package>   (migrated from Trac #2369)"""
"DM-321","Story","Qserv",2,"Re-think thread.cc and dispatcher.cc python interface","""The mess of thread.cc and dispatcher.cc need to be re-thought and re-designed so that the interface is smaller and more obvious.  """
"DM-326","Bug","Developer Infrastructure",1,"Libraries being built in lib64 on OpenSUSE, when EUPS tables assume lib","""A report from Darko Jevremovic <darko@aob.rs>: {quote} Hi Mario,  I managed to build stack v8 on OpenSuse13.1  There were standard problems with lib/lib64 - namely system builds libraries in $PREFIX/lib64 and some programs are hard wired for $PREFIX/lib  if you could  change the last line of  mysqlclient-5.1.65+3/ups/eupspkg.cfg.sh  from  (cd $PREFIX/lib && ln -s mysql/* . )  to  ( cd $PREFIX && if [ ! -f """"lib"""" ] ; then  ln -sf lib64 lib; fi &&cd $PREFIX/lib && ln -s mysql/* . )  or something along that line (am not sure whether the syntax would  work).  Also if you could add  in the same manner to ups/eupspkg.cfg.sh  ( cd $PREFIX && if [ ! -f """"lib"""" ] ; then  ln -sf lib64 lib; fi)  for the following packages:  minuit2 gsl cfitsio wcslib {quote} """
"DM-337","Story","Qserv",1,"removed dead code in stringUtil.h","""Remove obsolete strToDoubleFunc (and more) in util/stringUtil.h."""
"DM-335","Story","Qserv",8,"Migrate std::lists to std::vectors","""Suggested by Andy when reviewing DM-296, discussed at Qserv mtg 3/27.  std::list --> std::vector  * why? Default now is vector, iterating over vector is much more efficient than over list  * revisit on case by case bases, do not blindly replace  * preferred solution: typedef, and name it in a way that conveys the intent (e.g., might call it a """"container""""), underneath use vector"""
"DM-334","Story","Qserv",2,"Cut Qserv release","""It'd be very useful to have fully functioning Qserv release with the latest set of changes (build, packaging, CSS, Daniel's fixes etc) during the Hackathon week."""
"DM-355","Story","Qserv",0.5,"Install and tag multiple Qserv versions on the same distserver","""Done in DM-366"""
"DM-354","Improvement","afw",2,"Add cameraGeom overview to Doxygen documentation","""The CameraGeom package needs an overview page (part of afw's main.dox) as part of the Doxygen documentation. I think it's up to Simon or me to add this."""
"DM-370","Story","Qserv",5,"improved how default values for CSS are handled","""Need to improve how defaults are handled in qserv_admin. There seems to be some desire to warn when values are not set--how about setting defaults and just printing what configuration is being used? If this is something human-created, we should have reasonable defaults and not bother the user, unless no default is viable. I think we should only be strict on machine-generated input, where we would like to catch bugs as soon as possible.   (This came up in the review of DM-56, the review comments are captured in DM-225)"""
"DM-366","Story","Qserv",5,"Refactor install/distribution procedures using lsst-sw",""" Here's Andy Salnikov remark, during #3100 review : https://dev.lsstcorp.org/trac/ticket/3100#comment:18"""
