"issuekey","type","components","storypoint","title","description_text"
"FAB-30","Story","fabric-ledger",2,"Endorser simulation of transactions.","""Story: Developer needs the ability to gain signatures from endorsers as defined by a policy by simulating a transaction without writing to the ledger create, so that they can submit a transaction.    Endorsers simulate tx with state and reply with rw set of all keys that were modified.    A submitter composes a transaction consisting of [header, payload, rw-set] where rw-set is the set containing the state variables that the transaction reads from (read-set) and the state variables that the transaction writes to (write-set). The rw-set is created via transaction execution simulation (not writing to database). This simulation is also done by the endorsers of the transaction to fulfill the endorsement policy of the transaction."""
"FAB-149","Story","fabric-orderer",2,"BFT Orderers need to sign batches","""BFT orderers have to provide signatures so that validator peers can use the set of signatures to accept validity of a batch without having to connect to f+1 orderers.    All orderers already sign with their own key."""
"FAB-200","Story","fabric-ledger",8,"Ledger simple provenance: I want to see the full history of key values across time","""Querying for full history of keys will require a new history database. See attached slides for details."""
"FAB-196","Story","fabric-ledger",8,"Ledger APIs to query Blocks/Transactions, including rich query and history of key values","""- Ledger APIs have been implemented and need to be exposed to SDK:    -- GetBlockchainInfo    -- GetBlocksByNumber    -- GetBlockByNumber    -- GetBlockByHash    -- GetTransactionById    -- ExecuteQuery    """
"FAB-192","Story","fabric-ledger",2,"Ledger advanced simulation: As a consumer of the ledger APIs (Endorser peer chaincode), I need the ability to manipulate keys in various ways, so that I have flexibility in chaincode to get and set the state I need","""- Implement QueryExecutor.GetStateRangeScanIterator()    - Implement QueryExecutor.GetStateMultipleKeys()    - Implement TxSimulator.DeleteState()    - Implement TxSimulator.SetStateMultipleKeys()"""
"FAB-254","Sub-task","fabric-sdk-node",8,"node.js SDK - add API to send endorsed deployment transaction to orderer","""This initial phase is to send to an orderer based on SOLO. The API should take a proper parameter assembled from the returned data of the sendDeploymentProposal() call, and send to the orderer for consensus, which will then deliver to committers for validating and committing to ledger.    Note that the event notification on transaction """"complete"""", """"error"""" will be tracked separately."""
"FAB-277","Task","fabric-quality",2,"Enable power node in Jenkins CI","""@bsmitha requested us to setup Power node in Jenkins CI."""
"FAB-318","Story","fabric-sdk-node",8,"[node-SDK] Technical debt","""This will help with creating a cleaner workspace for node.js developers working on the node.js SDK, and eliminate sub-optimal parts that are prone to breaks:  - build scripts that does -g installs  - reliance on vagrant  - """"make"""" based build scripts are not best suited for node.js development"""
"FAB-325","Task","fabric-orderer",2,"Create Rawledger API","""Create a Rawledger API which can be used by any orderer.    This should also cover moving the ramledger implementation of Solo out into its own package, and converting solo to depend on the new abstraction."""
"FAB-359","Epic","fabric-peer",8,"Bootstrapping a blockchain network with Orderers and Peers","""Bootstrapping Fabric network including bootstrapping 2 components: Orderers and Peers. Orderers make up a network of nodes with mesh connections. Peers network uses gossip to communicate with one another but direct connection with the Orderer network. All connections are TLS.    Each Orderer is configured by an administrative CLI command, which provides the necessary bootstrapping data, including a list of trusted roots, a list of Orderer certificates and IP addresses, a set of specific consensus algorithm properties, and access control policies. With this information, an Orderer may start up and connect with other Orderers.    Each Peer requires at least the following configurations:  # An enrollment certificate to participate in the network. The certificate may come from any CA as long as the CA is part of the trusted roots on the consensus service that the Peer will connect to  # A list of the Orderer certificates and IP addresses, which the administrative CLI from the consensus service can generate  # A list of trusted root certificates  # An optional list of channels that the Peer should subscribe. Unless explicitly configured, the Peer does not subscribe to any channels upon starting up    """
