"issuekey","type","components","storypoint","title","description_text"
"MDL-1626","New Feature","Forum",100,"Forum: Per-discussion subscription","""I am finding that my inbox is absolutely flooded with unwanted moodle mails off the forum script. This is very annoying and I know it will similarly annoy my users. In fact it will put them off the system.    The problem arises because unlike other discussion boards moodle messages are emailed to me from the entire forum, not just the thread I have started or responded to. The overwhelming of people's inboxes is a serious business: it could be said that moodle is generating spam because the email feature is so unfocused.    Is there any chance this is going to be improved please?"""
"MDL-3714","Sub-task","Forum",100,"Forum: Reply by e-mail","""How about the ability to post to the forums via email?"""
"MDL-5583","Improvement","Database activity module",20,"allow teachers to specify certain fields in database activity as required","""When creating a database, allow the teacher to specify whether a field must be filled in or not."""
"MDL-8501","Improvement","Forum",20,"Forum: proceed to next thread link","""Please put a link to jump to the next thread in the forum interface... Forums are very cool but the evaluation process is time consuming and, for a teacher, time is everything when evaluating 100s of students...  """
"MDL-9469","Bug","Forum",3,"Forum: Ability to export content at the end of the term","""My faculty would really like the ability to export the content from each forum as a record of the """"conversation"""" from each term.  That way, we could keep it as an archive or as a record of the activity in the class."""
"MDL-10115","Bug","Administration",13,"A use profile's course list is arbitarily limited with no way of seeing complete list","""When viewing a user's profile, if the list of their courses exceeds 21 (I think) an ellipsis is displayed. This seems a bit useless because... a) You can't click on the ellipsis to see the rest of the courses b) The list isn't even in alphabetic order so it becomes even more arbitrary c) the ellipsis is easy to miss, so you may not realise the list is truncated  Suggest either making this work properly, i.e., the ellipsis is clickable OR if the list is not considered important just put """"too many courses to show"""" if it exceeds a certain amount. It would seem sensible to display them in alphabetic order too.  Without this it is difficult for an administrator to see all the courses a user is in if (for example) checking role assignments."""
"MDL-12403","Bug","Backup|Questions",100,"backup or import of single quiz includes all questions in database","""When making a backup of individual quizzes, no matter how many (or how few) quizzes I back up, the backup includes all questions from the question bank, not only those used in the quiz which I'm backing up. So, in an extreme case, if I back up a single quiz, and then restore it to another course, I unintentionally transfer hundreds of questions along with this quiz.    The same happens when importing a quiz to another course."""
"MDL-13114","Improvement","Administration",100,"Include bulk course create and remove with Moodle through the use of CSV files","""We're looking to Moodle for a replacement to Blackboard Enterprise.  In order for Moodle to be a viable replacement we need a way to bulk create and delete courses based on CSV files.  The bulk create courses is handled by use of a 3rd party module (uploadcourse.php created by Rory Allford).  However once we import say 700+ courses there's no way to them bulk remove them at the end of a semester (removing 1 by 1 would be too time consuming).  We would really prefer that this functionality be included within Moodle, as relying on 3rd party modules (no matter how good they are), inherits a risk if the module stops getting updated."""
"MDL-16474","New Feature","Gradebook",8,"Allow single-item scales","""The single-item scale, """"Useful"""", used on moodle.org is in demand! See http://moodle.org/mod/forum/discuss.php?d=105515    Currently only scales of 2 or more items may be created."""
"MDL-16982","Improvement","Administration|Authentication",40,"Adding data mapping for custom user fields","""I'd like having the possibility to add data mapping for custom user fields when I use LDAP or DB auth modules"""
"MDL-17081","New Feature","Administration|Roles / Access|Usability",20,"Implement import/export ""Permissions"" settings for ""Manage roles"" tab","""Suggest to implement """"import / export"""" settings for the role """"permissions"""". See the two proposed solutions (probably only one need to be implemented)... This is particularly useful for larger """"enterprise-level"""" moodle implementation as we often have staging, testing, and development moodle installations and if we have customized role settings, it is a pain in the butt to manually change all of them one by one (it's a long list of the """"Permissions"""" for all the newly deployed moodle instances. Thanks!"""
"MDL-18014","New Feature","HTML Editor (Atto)",40,"Automatically and periodically save WYSIWYG editor content as a draft/concept","""This emerged during the discussion at MDL-13370. Shortly: use AJAX to automatically and periodically (eg. every minute) save the content of a WYSIWYG editor to the concepts (drafts) space. See GMail for the working example.    It seems to me that we could use table mdl_post for this therefore not DB changes should be required. There will be a flag for a rich text field definitions that enables this feature. Every WYSIWYG will have to have some uniq identifier. Concepts are accessible to their owners only (and admins?) - maybe via a card in their profiles? Their lifetime is a subject of configuration - couple of hours by default."""
"MDL-18229","New Feature","Gradebook|Usability",100,"Add grade item and student grades quick edit feature to the grader report","""Add grade item and student grades quick edit feature to the grader report to enable editing for each grade item and for each student:    * Grades and feedback  * Grade overrides  * Excluded grades    Thanks to developers at the LSU for this feature - see http://moodle.org/mod/forum/discuss.php?d=101449 for more details.  """
"MDL-18375","New Feature","Calendar",100,"Displaying and selecting dates throughout Moodle should allow the use of multiple calendars","""I implemented a patch to add the capability of working with other calendar systems than just Gregorian.  I'll provide the instructions to apply the patch in following post"""
"MDL-18633","Improvement","Administration",2,"User profile: add last ip field to user view","""Similar to MDL-18518, this request to add the Last IP address could be useful to a site administrator trying to track down where a user last access Moodle from. Patch for 1.9 attach, I'll come up for one for HEAD as well. Peace - Anthony"""
"MDL-18770","Bug","Gradebook",13,"Non-graded Assignment and Quizzes appear in the gradebook  and have Max Grade assigned","""Non-graded Assignment and Quizzes are getting displayed in the gradebook, and they look like being included into aggregation in the Cat&Items interface, since they have Max Grade value set to 100.  Other activities behave definitely. E.g. If Forum is not graded, it does not appear in the gradebook as a column. Which for me is an expected behavior.    1. Add an Assignment. Set it to No Grade. Column will still appear in the gradebook. Now go to the Cat&Items interface. It will display Max Grade for that column to be 100 points. (Though it will not be actually included into the calculation)  2. Add an Assignment. Set it to be graded on a scale (scales are NOT included in aggregation for us). Maximum Grade in the Cat&Items interface will display some number (e.g. 3, if there are 3 items in a scale). It is confusing, since one would now expect that 3 to be calculated toward course/category total.  3. Add a quiz, add some questions, and make the quiz to be worth 0 points. Maximum Grade in the Cat&Items interface will still be 10 points (or 100). Interestingly enough, I can manually delete a gradebook column for this kind of quiz. (But, once I delete a column, there is no way for me add it back, even though I will make the quiz gradable)    I think MDL-14017 is related to this. """
"MDL-20045","New Feature","Roles / Access",40,"Add unofficial support for custom context levels","""This issue is in reference to http://moodle.org/mod/forum/discuss.php?d=111362. In brief, one of our Moodle extensions would benefit greatly from being able to use Moodle's roles and contexts system, and we would need to define our own context levels.  However, we would like to be able to do this without having to differ from core in unmaintainable ways. We believe that this would be helpful to many other Moodle partners and plugin developers, and some of our proposed changes may help to improve the maintainability and readability of core Moodle code."""
"MDL-20250","Bug","Gradebook",40,"Add admin settings for disabling particular gradebook calculations, category overriding and grade minimum on the grader report","""An admin setting for selecting which aggregation types are available was added to Moodle 1.9.5.    Further admin settings for disabling gradebook features such as multiplicator, offset, calculations (see MDL-18049 for details of exactly which features) should be added to Moodle 2.0."""
"MDL-21180","Bug","Gradebook",40,"Category children default to extra credit when category agg is switched from Weighted to Simple","""Category 1 is set to Weighted Mean of Grades  Its children all have weights assigned to them  Category 1's agg method is switched to Simple weighted mean of grades  Its chlldren are now all extra credit    This was kinda, supposedly fixed with MDL-19407 but only took into account an item moved from a category of WM to SWM... not if the entire category is switched (common in our parts)."""
"MDL-21415","Bug","Groups|Reports",20,"Course Participation Report doesn't abide by separate groups","""In  1.97 (haven't tested other versions), the participation report shows all students to a non-editing teacher in a group.   My courses are set to separate groups, and permissions for Non-editing Teacher for showallgroups are set to prevent. When I log in as a non-editing teacher I set up, and go to the Course reports, click the participation report, choose an activity, and then set """"Show only"""" to Student, all student show up.   Shouldn't the participation report also respect separate groups?"""
