"issuekey","type","components","storypoint","title","description_text"
"TIDOC-266","Bug","APIDoc",1,"APIDoc: Provide list of supported audio/sound filetypes/codecs","Add list, or link to a list (per platform), of supported filetypes/codecs to [Titanium.Media.Sound|http://developer.appcelerator.com/apidoc/mobile/latest/Titanium.Media.Sound-object.html].    Be certain to do so for playing and recording sound, if the support differs."
"TIDOC-88","Bug","APIDoc",1,"APIDoc: validate.py doesn't run properly from windows console","When running validate.py from the windows command line, an exception is thrown because the checkmark character is outside the extended ascii character set supported by the windows console.    We should probably detect if we're running on windows and avoid the fancy formatting (colored text and checkmarks)."
"TIDOC-507","Bug","APIDoc",1,"Android: Inconsistent Slider floating point value","h3.Issue  Android slider cannot have a floating point value (as seen in the screenshot below is converted to nearest whole number).    h6.Tested on  Android emulator 2.2  LG Ally device 2.2.1    h6.Expected results  Slider value be 1.5    h6.Unexpected results  Slider value is 1.0    h6.Repro sequence  {code:title=app.js}  var win = Ti.UI.createWindow({          backgroundColor: '#cccccc'  });     var slider = Ti.UI.createSlider({          height: 'auto',          max: 3,          min: 0,          top: 24,          value: 1.5,          width: 300,          color: '#6699cc'  });     slider.addEventListener('change', function(e) {          alert(e.value);  });     win.add(slider);     win.open();  {code}"
"TIDOC-240","Bug","Guides",8,"Guides: Need to document iCloud features and Ti Appcelerator","h4. PROBLEM DESCRIPTION  The community has several questions about how to interact with icloud and their Ti Appcelerator apps. Common questions:    - How to use icloud?  - How to hide stuff from icloud?  - Where to put a db?  - What if I want that db to be synced with icloud?  - How to force a restore after a reinstall of the app?    Would be nice if we have an entry in the wiki or a blog post where we post how we handle icloud stuff.  "
"TIDOC-403","Bug","Guides",0,"Android: provide better explanation of garbage collection","The following code should release all memory/objects but doesn't on Android. You can use DDMS to watch memory & # objects grow with repeated launches of the app. Code is a simplified version of that posted in [this Q&A thread|http://developer.appcelerator.com/question/132357/memory-leaks-on-android-but-not-on-ios---very-simple-test-case]        Per customer, memory is released fine on iOS."
"TIDOC-454","Bug","Guides",13,"APIDoc: Clarify the use and purpose of Window.modal","Window.modal is something of a ""magic"" property that behaves differently depending on context on iOS (is a tabgroup open or not, etc), but is not context-sensitive on Mobile Web (Android behavior is unknown). These differences need to be described clearly in the docs for Window, TabGroup, and potentially other locations."
"TIDOC-2563","Bug","Tooling",1,"Tooling: docgen.py: Some Dictionary types are not being output","This relates to types that take the form: Array<Dictionary<type>>     I thought this was fixed, but I've found a case where it isn't working. The TableView.data property takes the following types:              type: [ Array<Titanium.UI.TableViewRow>, Array<Dictionary<Titanium.UI.TableViewRow>>, Array<Titanium.UI.TableViewSection> ]      However, the second type is not appearing in the output:    Array<Titanium.UI.TableViewRow> or Array<Titanium.UI.TableViewSection>    Strangely, similar types are coming out correctly in the HTML generator for TableView.appendRow:    Titanium.UI.TableViewRow or Dictionary<Titanium.UI.TableViewRow> or Array<Titanium.UI.TableViewRow> or Array<Dictionary<Titanium.UI.TableViewRow>>          "
"TIDOC-721","Bug","APIDoc",1,"There is two links in the TOC refered to the same anchor","E.g. http://apidoc.appcelerator.dev/#!/guide/Installing_and_Updating_Android_SDK page has two links: ""Software Locations"" and  ""Installing Android SDK Manager"" in TOC  -> Installation -> Windows that refer to the same links anchor in TOC  -> Installation -> OSX. The links should be refered on the own anchor."
"TIDOC-562","Bug","APIDoc",2,"Android: Ti.UI.TableView.backgroundSelectedColor doesn't work","*Code*  http://pastebin.com/Mgk90jrd    *Problem*  I'm not sure if this is a platform bug or more of a documentation bug, but when you set a color to Ti.UI.TableView for the backgroundSelectedColor property, it doesn't seem to affect the app in any way. If you set the same property to Ti.UI.TableViewRow objects, it seems to work as documented.     So I'm not sure if this is a product bug and should work with either of the properties (and overwrite one over the other) or if the documentation is not correct instead. Please edit ticket as appropriate.    *Notes*  -Only tested on a HTC Sensation, running 2.3.x"
"TIDOC-605","Bug","APIDoc",1,"Android: Being able to configure the menu for the barcode reader","h4. Problem Description  Loading the module overwrites the native Android menu, this breaks the app in my case. Would also be great if that would be configurable.    h4. HD discussion  http://support-admin.appcelerator.com/display/APP-635179"
"TIDOC-822","New Feature","Tooling",1,"TiDuck: Video data should update","It appears that the current video tab is based on a static JSON file. We should determine a way to refresh the video data periodically without having to rebuild the entire site."
"TIDOC-618","Bug","APIDoc",1,"APIDOC: Incorrect return type for ImageView.toBlob()","[http://docs.appcelerator.com/titanium/2.0/index.html#!/api/Titanium.UI.ImageView-method-toBlob]    Description says it returns a blob, ""Returns"" says it returns void."
"TIDOC-671","Bug","APIDoc|Guides",3,"Android: Document (article/wiki) Android application restart scenarios","We need to document for the community what happens in the two Android ""restart"" scenarios:    * When a backgrounded application is killed off completely by Android to gain back memory.  We auto-restart in this scenario because Android tries to show the most recent top activity first whereas we need to go through the root activity startup.    * When a backgrounded application is left inactive (for about 30 mins) and Android, upon reopening the app, kills off activities above the root activity (i.e., the root activity re-appears).  we have ti.android.root.reappears.restart tiapp setting for this, but it is undocumented in the tiapp.xml reference.  Document also that an alternative is to add event listener to ""resume"" and redo the application startup logic.  see my comments in timob-9229 re that"
"TIDOC-839","Story","Guides",8,"Document requirements for debugging on device (iOS and Android)","Create a wiki page that lists:    * Curent pre-requisites for debugging on device  * Known common problems and ways to resolve them  * Use cases and workflows for iOS and Android. Some examples:  ** Device doesn't connect the first time. Timeout and reconnect option?  ** Network connection drops altogether. Currently there is no reconnect option as part of the protocol  ** Itunes not set up correctly.  ** Network not set up to support broadcast (http://en.wikipedia.org/wiki/Broadcasting_(networking))  ** IPv6 does not support broadcast, and instead supports multicast: http://en.wikipedia.org/wiki/IP_multicast. if we are using Bonjour, perhaps this is fine (see http://www.cisco.com/en/US/products/hw/wireless/ps4570/products_tech_note09186a0080bb1d7c.shtml)  ** ADB fails to connect    The document should suggest the areas in which our implementation is currently lacking, and the ways in which we can improve the experience."
"TIDOC-794","Bug","APIDoc",1,"APIDoc: Default value for TextField.autocorrect is wrong","Doc says the default is false. It appears to be true.    Note that as of 2.1.2, iOS and Mobile Web _return_ false as the default, and Android returns undefined, but all behave as if autocorrect == true."
"TIDOC-833","Bug","APIDoc",3,"APIDoc: Platform support for backgroundSelectedImage, etc., on Ti.UI.Button is wrong","There are a few errors in here as a result of our partial inheritance changes.    Fix 'em! And spot check other view classes for the same problem."
"TIDOC-842","Epic","Tooling",0,"Support localization of documentation","This ticket covers all tool modifications required to support localization, including:    - Ensuring all tools work with unicode characters.  - Extracting localizable strings from the doc toolchain (docgen, generators, JSDuck).  - Add tools for generating localization files (XLIFF or similar).  - Any modifications necessary to serve multiple locales (e.g., in docgen or the web site).    It does not cover any changes in Studio or other tools to supply locale-specific versions (of doc, JSCA, etc.).    "
"TIDOC-860","Bug","Tooling",8,"Content Assist: Global: console, JSON, and some String methods do not appear in content assist","Content Assist does not contain entries for Global.console, Global.JSON, and some Global.String methods.    API Documentation: http://docs.appcelerator.com/titanium/3.0/index.html#!/api/Global    These entries appear to exist in api.jsca.    3.0.0.v20121018140140.api.jsca excerpt:        Steps to Reproduce:    1. Open app.js.  2. Activate Content Assist.  3. Type in 'console', 'JSON', or 'String.format'.    Actual Result:    Entries do not exist.    Expected Result:    Entries should exist. They do exist at runtime and the documentation. This could be an api.jsca formatting issue, or a Studio Content Assist issue."
"TIDOC-886","Bug","APIDoc",1,"Documentation Needed for Ti.Media.cameraFlashMode","There is no documentation available for flash modes of camera (Ti.Media.cameraFlashMod) but there is an example for this on KitchenSink.   Kitchen Sink Git link:  https://github.com/appcelerator/KitchenSink/blob/master/Resources/ui/handheld/ios/phone/camera_video.js"
"TIDOC-1076","Bug","Cloud",5,"Add update method document for status, checkin.","status, checkin has implemented update method, we need to add update method reference in website."
"TIDOC-1023","New Feature","Tooling",8,"DocTools: Add full-text search integration for JSDuck","Add search controller/view for JSDuck to integrate with our SOLR search engine."
"TIDOC-1043","Bug","APIDoc",1,"TableView: touchstart event - Missing Android platform logo","In TableView docs (http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.TableView-event-touchstart), the *touchstart* event describes its usage on the Android platform.     However, the doc is missing the Android platform logo (see attachment)."
"TIDOC-1052","New Feature","Cloud|Tooling",13,"DocTools, Cloud: Add ""admin-required"" flag","Cloud docs should have an admin-only flag for parameters and methods."
"TIDOC-1059","Story","Tooling",13,"DocTools: Create downloadable version of docs","The process itself is pretty simple--we can post-process the JSDuck output to create a downloadable version of the docs that uses an index.html instead of index.php so users can access it from a local drive.    However, to make this scalable, we should incorporate it into the tools so that we can build this without a lot of added effort."
"TIDOC-1695","Bug","APIDoc",1,"Android: Picker - On Android, if you set a backgroundColor for Picker, then picker exhibits abnormal behavior","*Details:* On Android, if you set a backgroundColor for Picker (*not supported*), then picker exhibits abnormal behavior.    *This is not a regression.*    *Steps to reproduce:*  1. Install the following app.js code to an Android device:      2. Click on the different rows     *Actual:* Abnormal behavior is shown (e.g text bleeding to other rows, black artifacts in the row). See attachments.    *Expected:* An error should be thrown since backgroundColor is not supported for Picker"
"TIDOC-1130","Bug","APIDoc",3,"Need Node.ACS training doc","Please see ticket CLOUDSRV-2357. Developers have a hard time to write code using node.acs due to lack of training docs."
"TIDOC-1190","Bug","APIDoc",1,"Missing semi-colon in Ti.UI.Animation docs example","See attached pic for missing semi-color in this line:        Additionally, copying and pasting this code will not work (even with the added semi-colon) where as most examples in the documentation will be run on copy and paste into app.js.    Here is the correct code that will run if simply pasted into an app.js:    "
