"issuekey","type","components","storypoint","title","description_text"
"TIMOB-8075","Bug","Android",2,"Android: While debugger is running, cannot back out and go back into an app","If you debug an Android app, you can't back out of that app and go back into it.  It hangs then at the splash screen, and shows both ""Bad Socket"" and ""Connection Refused"" errors in logcat.    Logcat:    [https://gist.github.com/43b1285ca8743eaaf672]    Screencast:    [http://screencast.com/t/m0C2c9Ojxo]  "
"TIMOB-3594","Bug","iOS",1,"TableViewRow.header/footer is undocumentated","{html}<div><p>Usage example in the Kitchensink: <a href= ""https://github.com/appcelerator/KitchenSink/blob/master/Resources/examples/table_view_api_custom_rowheader.js""> https://github.com/appcelerator/KitchenSink/blob/master/Resources/e...</a></p> <p>But the current API documentation doesn't know this attribute: <a href= ""http://developer.appcelerator.com/apidoc/mobile/latest/Titanium.UI.TableViewRow-object""> http://developer.appcelerator.com/apidoc/mobile/latest/Titanium.UI....</a></p></div>{html}"
"TIMOB-3588","Bug","Android",1,"Android: Geolocation displays error alert for Current location","{html}<div><p>Steps to Reproduce<br>  1. Launch KitchenSink<br>  2. Run Phone &gt; Geolocation<br>  3. Go back and then go back into geolocation again</p>  <p>Actual Result:<br>  Alert ""error{<a href=""""></a><a href=""2}"">code</a></p>  <p>Expected Result:<br>  To return the geolocation values</p>  <p>Note:<br>  Droid 1 happens on first launch<br>  Nexus S, sometimes happen on first launch, sometimes require a  second launch<br>  See also bug # 2418</p>  <p>Tested on:<br>  Nexus S 2.3.2 Titanium SDK version: 1.7.0 (Apr 12 2011 15:24  rcc9dd9e1)<br>  Droid 1 2.2.1 Titanium SDK version: 1.7.0 (Apr 12 2011 15:24  rcc9dd9e1)</p></div>{html}"
"TIMOB-3569","Bug","iOS",2,"Titanium.UI.iPhone.SystemButton does not exist","Sometimes it does, other times not... ditto for {{SystemButtonStyle}}. (iPhone emulator)  Restarting Titanium developer and deleting the build folder brought it back. But..."
"TIMOB-3541","New Feature","iOS",8,"iOS: Implement Composite Layout Behavior Spec","Implementation of the new (Composite) Behavior Spec for IOS.  "
"TIMOB-3529","Bug","Android",1,"Android: Ti.Properties do not accept ""undefined"" as value","This is feature request to allow ""undefined"" to be set as part of Ti.Properties, specifically the setBool and getBool. This works fine on iOS but does not on Android. Currently getBool accepts ""true"", ""false"" and ""null"".  There is a http://support.appcelerator.com/tickets/BUQ-42972-167/homepage ticket asking for this."
"TIMOB-3492","New Feature","Android",0,"Android: Context menu","h1. Feature  Support Android Context Menu    h2. Relies On  The context menu feature relies on [TIMOB-1653]"
"TIMOB-3491","New Feature","Android",0,"Android: support font-style strike line-through","{html}<div><p>Requesting suport for line-through decoration of text.<br>  Also known as strike/strikethrough.<br>  <strike>Example</strike></p></div>{html}"
"TIMOB-3432","Bug","iOS",1,"iOS: Clear app url from App Arguments on resume","{html}<div><p>A <a href=  ""http://developer.appcelerator.com/helpdesk/view/76659"">helpdesk  ticket</a> encounter a problem while coming back to the app after  it has been in the background (multitasking).</p>  <p>If the app is opened from being close, Ti.App.getArguments().url  return nothing, and if it is opened again from backgrounding, it  also returns nothing. This is fine, but when the app is launched  from Safari (for example: app://), getArguments().url returns  ""app://"" (or whatever the name of the app is) as expected. If the  app is placed in the background again and reopened normally, the  same url appears as if it was opened through safari.</p>  <p>More details and sample app.js in helpdesk ticket <a href=  ""http://developer.appcelerator.com/helpdesk/view/76659"">76659</a>.</p></div>{html}"
"TIMOB-3427","New Feature","TiAPI",3,"Ti API: Provide EXIF data interface","As Exif data is stored in photo files created using the device camera, it can be exploited to simplify apps as the information does not need to be implemented/duplicated using the DB. Hence, propose that access to the data be considered for inclusion in a future release.    This functionality is available for iOS from version 4.0, according to http://developer.appcelerator.com/helpdesk/view/63941.    This request also raised for Android."
"TIMOB-3425","Bug","iOS",1,"iOS: Titanium.Media.createItem does not exist","{html}<div><p>I tried to call the method however I get an error in 1.6.1,  1.6.0 and 1.5.1 telling me that the method doesn't exist. Still no  luck after emptying build folder and forcing full rebuild. So it's  impossible to save and deserialize media data picked from the  library at the moment.</p>  <p>Here is the relevant part of the crash log:</p>  <p>*** Terminating app due to uncaught exception 'XXX', reason:  'invalid method (createItem) passed to MediaModule'</p></div>{html}"
"TIMOB-3408","Bug","Android",2,"iOS: Expose Ti.UI.Label.textAlign ""justify""","Please put this into the next release. Allows for prettier text aligning in Labels."
"TIMOB-3375","New Feature","iOS",0,"TiAPI: Implement several missing Ti.Media.AudioPlayer features","*Problem description*  Ti.Media.AudioPlayer is lacking several features. Because of this, developing an audio player with the current API is not possible. For example, Ti.Media.Sound has a duration property, which isn't available in Ti.Media.AudioPlayer.    *Proposed fixes (available in linked repositry)*  - ADD duration read-only property  - ADD time property (for seeking)  - ADD volume property  - ADD next/prev and seeking remote control events  - FIX play/pause remote controls don't work when using background audio  - FIX changing the URL doesn't work (unless you stop first)  - FIX progress events only fire for the first URL    Also suggested on http://stackoverflow.com/q/35157844/4626813  - Expose contentType header to be send when retrieving the file/stream"
"TIMOB-3286","New Feature","Android",1,"Android: Support service constants","{html}<div><p>Is it possible to add support for the constants for services for  better control over the instances through Ti.Android.Service and  the start event handler?</p>  <p>I'm finding my Android background service is getting cleared up  when the device is running low on memory. I guess the alternative  is support for foreground services.</p>  <p>Android Docs: <a href=  ""http://developer.android.com/reference/android/app/Service.html#START_STICKY"">  http://developer.android.com/reference/android/app/Service.html#STA...</a><br>  QA Thread: <a href=  ""http://developer.appcelerator.com/question/116757/creating-services-with-startsticky"">  http://developer.appcelerator.com/question/116757/creating-services...</a></p></div>{html}"
"TIMOB-3277","New Feature","iOS",0,"iOS: Picker 'select'-event requested","{html}<div><p>At this moment, the only Picker-event is the change-event. A  user, however, can click on a row. If he does so, a blue selection  bar appears. But there is no way to detect that event. Could you  add a 'select'-event so that we can write an event-handler for this  behavior?</p></div>{html}"
