Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,,,,,
appceleratorstudio,1,0.436083715,0.469970863,0.312485482,0.289991369,0.435717188,0.468021463,0.333024686,0.322189724,0.483271129,0.574519669,0.333723256,0.340305351
appceleratorstudio,1,0.43939677,0.457969674,0.342724476,0.329191672,,,,,,,,
appceleratorstudio,1,0.435417595,0.466470356,0.300857915,0.297175072,,,,,,,,
appceleratorstudio,1,0.436988382,0.473482307,0.306307239,0.29244499,,,,,,,,
appceleratorstudio,1,0.437554932,0.468547567,0.346577314,0.335044578,,,,,,,,
appceleratorstudio,1,0.440206111,0.472303023,0.334452113,0.322060346,,,,,,,,
appceleratorstudio,1,0.42691555,0.46629507,0.336660698,0.338443144,,,,,,,,
appceleratorstudio,1,0.442176174,0.468227409,0.348325938,0.33379135,,,,,,,,
appceleratorstudio,1,0.429821053,0.476044074,0.374889929,0.358515408,,,,,,,,
appceleratorstudio,1,0.4326116,0.460904286,0.326965755,0.325239307,,,,,,,,
appceleratorstudio,2,0.464180046,0.501350301,0.25692888,0.24736195,0.466358567,0.508543441,0.304634636,0.296227674,,,,
appceleratorstudio,2,0.46537212,0.510062086,0.319575255,0.318105106,,,,,,,,
appceleratorstudio,2,0.465310009,0.50764913,0.323192535,0.317746046,,,,,,,,
appceleratorstudio,2,0.464710934,0.510534076,0.325645113,0.324498578,,,,,,,,
appceleratorstudio,2,0.464864716,0.509853324,0.314348428,0.290344612,,,,,,,,
appceleratorstudio,2,0.472562534,0.509870977,0.285362963,0.279492289,,,,,,,,
appceleratorstudio,2,0.474906703,0.510372144,0.311094576,0.307692973,,,,,,,,
appceleratorstudio,2,0.45671009,0.50729801,0.312211111,0.30378596,,,,,,,,
appceleratorstudio,2,0.467834976,0.508470419,0.294200654,0.289946769,,,,,,,,
appceleratorstudio,2,0.467133537,0.509973942,0.303786842,0.283302455,,,,,,,,
appceleratorstudio,3,0.472798035,0.529124712,0.293189163,0.286217603,0.480458879,0.529248866,0.300989846,0.293503472,,,,
appceleratorstudio,3,0.482721299,0.528003945,0.310202763,0.294774024,,,,,,,,
appceleratorstudio,3,0.481258072,0.526970767,0.317772462,0.316921278,,,,,,,,
appceleratorstudio,3,0.480647633,0.532216972,0.304231162,0.301336063,,,,,,,,
