Data,Pearson Train,Spearman Train,Pearson Test,Spearman Test
appceleratorstudio,0.9581898848741751,0.9614990111379198,0.27595974476252305,0.2826450781463366
aptanastudio,0.9918155609991262,0.9743242939818995,0.2723758466305286,0.2590185493413085
bamboo,0.962868968831804,0.9585342785481362,0.27626213095359403,0.26726637227911293
clover,0.9626820773622035,0.9776941639331808,0.36270763276910556,0.42010309437897364
datamanagement,0.9498229922907404,0.8709885042595513,0.41979586113031114,0.38214944919676036
duracloud,0.9610815274628693,0.9156477657025868,0.2951630733102963,0.38989320459431287
jirasoftware,0.9964065886795325,0.9800105961968445,0.4388198173518055,0.43501601890520325
mesos,0.9515448558911046,0.9722731247483011,0.41957410822542685,0.4036357174300609
moodle,0.9582617292836183,0.9111248148348354,0.41461243042795537,0.3977868435121537
mule,0.9906722596228524,0.9765497298922082,0.242427163396466,0.30898355656176824
mulestudio,0.9900437227963945,0.9761187235853712,0.24913644841974902,0.2637547483649299
springxd,0.9281010491200611,0.9494682140084327,0.3759382189384005,0.3954013051976271
talenddataquality,0.9726629120723327,0.9824378900211181,0.3767801076830085,0.28636937105969473
talendesb,0.9723982527995519,0.9484371419929006,0.313038323767851,0.32360492582415057
titanium,0.9836568111806888,0.9752068387078432,0.15069860898373919,0.23745061700552583
usergrid,0.994563503587498,0.9098445053889971,0.38598167155022706,0.36597301437003527
