Data,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,
jirasoftware,0.997038304,0.980010596,0.439943599,0.367751163,0.996261537,0.979997253,0.465446181,0.410042292
jirasoftware,0.997481141,0.980010464,0.373998564,0.421885727,,,,
jirasoftware,0.998089081,0.980010596,0.311536572,0.354741017,,,,
jirasoftware,0.997939865,0.980010199,0.609892255,0.437453276,,,,
jirasoftware,0.993499156,0.980010596,0.436991243,0.364987794,,,,
jirasoftware,0.994461743,0.980010596,0.368420188,0.395041574,,,,
jirasoftware,0.99757846,0.980010596,0.555577976,0.44260241,,,,
jirasoftware,0.997283232,0.980010464,0.364570463,0.391660309,,,,
jirasoftware,0.996648435,0.980010596,0.508420685,0.412016553,,,,
jirasoftware,0.995924702,0.980010596,0.566644824,0.424031199,,,,
jirasoftware,0.996761085,0.980009801,0.458813942,0.496170569,,,,
jirasoftware,0.995841771,0.980010596,0.454793755,0.412668777,,,,
jirasoftware,0.997949131,0.979984658,0.458939657,0.406335342,,,,
jirasoftware,0.992423431,0.980010464,0.51149608,0.35934091,,,,
jirasoftware,0.995224454,0.980010596,0.446551305,0.340546571,,,,
jirasoftware,0.994503912,0.980010066,0.473027696,0.403160042,,,,
jirasoftware,0.997480127,0.980010464,0.5135164,0.421027538,,,,
jirasoftware,0.996434863,0.979772052,0.528443388,0.440027843,,,,
jirasoftware,0.996633642,0.980010464,0.541678957,0.5085028,,,,
jirasoftware,0.996034205,0.980010596,0.385666065,0.400894423,,,,
