Data,Pearson Train,Spearman Train,Pearson Test,Spearman Test
appceleratorstudio,0.6258774667338695,0.706157290321952,0.4153435561214772,0.3900488181982646
aptanastudio,0.6017623139582764,0.8033429355522734,0.43913376662128395,0.34934590171580043
bamboo,0.6899120706355051,0.8993228640648163,0.301104524352802,0.26708798741938966
clover,0.5783725864667721,0.8229672077836147,0.4761589728438747,0.44341287718973404
datamanagement,0.6037125585255584,0.7437877230070649,0.39825716745679046,0.4231251373465662
duracloud,0.7051910242481408,0.8748818831637178,0.4028794413593701,0.39331156215637275
jirasoftware,0.7093087005795636,0.8578269817410841,0.4861778065306238,0.4797619948880742
mesos,0.6878526334325297,0.8334840351411302,0.4758550978043312,0.4876218133232622
moodle,0.49494208152992714,0.6933187462115509,0.36033065048759627,0.368052628036309
mule,0.7178163070427603,0.7770527955399373,0.32879896048927987,0.3377611908917656
mulestudio,0.6244947709724028,0.8512536154970588,0.2497005061909266,0.23767291391334477
springxd,0.6359015684268178,0.7742768962215167,0.464909122351726,0.4642876213209602
talenddataquality,0.6041332026097201,0.7192298932857903,0.3378196535865568,0.34420724603962194
talendesb,0.7777529966191943,0.8823823956845137,0.4528135253340133,0.4824105872567704
titanium,0.6152667413647319,0.6949880232561043,0.25160320981803824,0.26255804608964833
usergrid,0.8435981983311783,0.8530297809910874,0.422766034290536,0.4162578605688942
