Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,
jirasoftware,1,0.646971996,0.724619344,0.41915473,0.371943815,0.661355563,0.775990362,0.417727245,0.422629171
jirasoftware,1,0.64238503,0.773942018,0.461696135,0.4765827,,,,
jirasoftware,1,0.681172192,0.804845856,0.454061917,0.504383562,,,,
jirasoftware,1,0.653287047,0.782969384,0.405151183,0.440150392,,,,
jirasoftware,1,0.67015124,0.778179839,0.434861506,0.414175717,,,,
jirasoftware,1,0.691655427,0.788432707,0.353583375,0.322187684,,,,
jirasoftware,1,0.70899862,0.781920538,0.368777721,0.457557718,,,,
jirasoftware,1,0.672014007,0.770854199,0.344957717,0.337789037,,,,
jirasoftware,1,0.616875962,0.762502585,0.411496232,0.413344931,,,,
jirasoftware,1,0.681550416,0.774191439,0.381610009,0.434778308,,,,
jirasoftware,1,0.625576241,0.762999103,0.452762083,0.44972746,,,,
jirasoftware,1,0.635398076,0.749848686,0.431876817,0.507125469,,,,
jirasoftware,1,0.662469685,0.77331909,0.478710887,0.42702412,,,,
jirasoftware,1,0.68564382,0.803151806,0.400485111,0.279691588,,,,
jirasoftware,1,0.655711382,0.761364571,0.391401958,0.409006033,,,,
jirasoftware,1,0.649310859,0.800287062,0.356258373,0.370591029,,,,
jirasoftware,1,0.685120937,0.787856038,0.404680558,0.399325823,,,,
jirasoftware,1,0.627421543,0.775835524,0.504800925,0.495029459,,,,
jirasoftware,1,0.674937018,0.793623142,0.445591069,0.500277293,,,,
jirasoftware,1,0.660459755,0.769064315,0.452626599,0.441891285,,,,
jirasoftware,2,0.736140604,0.872391713,0.364983973,0.408782907,0.73408794,0.861427592,0.41201917,0.419042622
jirasoftware,2,0.71134019,0.851745223,0.426686003,0.373394916,,,,
jirasoftware,2,0.740222634,0.87509919,0.44640508,0.439086273,,,,
jirasoftware,2,0.722678828,0.833783178,0.45313032,0.512287342,,,,
jirasoftware,2,0.738337379,0.863648725,0.462599066,0.458913622,,,,
jirasoftware,2,0.75270981,0.863555893,0.3876738,0.365733801,,,,
jirasoftware,2,0.750657468,0.87131102,0.414254272,0.492369117,,,,
jirasoftware,2,0.732787688,0.86130928,0.393474223,0.399342986,,,,
jirasoftware,2,0.726655893,0.843378761,0.473638741,0.52196739,,,,
jirasoftware,2,0.742223878,0.873264429,0.36169183,0.355833532,,,,
jirasoftware,2,0.741006142,0.863374452,0.431306949,0.457948635,,,,
jirasoftware,2,0.723613043,0.866145559,0.41326156,0.392820859,,,,
jirasoftware,2,0.736645767,0.862546188,0.40535426,0.462775376,,,,
jirasoftware,2,0.699132675,0.847761992,0.373752105,0.384874162,,,,
jirasoftware,2,0.720682567,0.863231866,0.400712803,0.430645587,,,,
jirasoftware,2,0.762702501,0.877417357,0.431531923,0.410224641,,,,
jirasoftware,2,0.750095566,0.87185032,0.366829467,0.40329059,,,,
jirasoftware,2,0.721565467,0.853306789,0.414178146,0.290904039,,,,
jirasoftware,2,0.741684578,0.856615187,0.394984152,0.368685897,,,,
jirasoftware,2,0.730876125,0.856814709,0.423934727,0.450970773,,,,
jirasoftware,3,0.759777599,0.899856778,0.38408998,0.379090065,0.767699615,0.900147083,0.415868383,0.401340474
jirasoftware,3,0.775717146,0.88702253,0.509935878,0.478720127,,,,
jirasoftware,3,0.751298547,0.89311634,0.452794067,0.474099211,,,,
jirasoftware,3,0.75773808,0.885078381,0.452596912,0.443689732,,,,
jirasoftware,3,0.765112656,0.893761763,0.432227328,0.3978121,,,,
jirasoftware,3,0.766166497,0.890431555,0.42992007,0.454966052,,,,
jirasoftware,3,0.769069937,0.902214153,0.449570326,0.453627311,,,,
jirasoftware,3,0.782205348,0.909501471,0.394832317,0.326772999,,,,
jirasoftware,3,0.785016469,0.914959573,0.341060707,0.361531812,,,,
jirasoftware,3,0.773902495,0.911527724,0.45493054,0.394170165,,,,
jirasoftware,3,0.766172759,0.915265932,0.401380277,0.365891339,,,,
jirasoftware,3,0.785216413,0.903068404,0.389669275,0.360873548,,,,
jirasoftware,3,0.755423843,0.897752366,0.337449804,0.332574211,,,,
jirasoftware,3,0.780183418,0.897432618,0.455458296,0.412092006,,,,
jirasoftware,3,0.755581542,0.899032833,0.415284931,0.371847071,,,,
jirasoftware,3,0.767672577,0.904924096,0.466730885,0.448289509,,,,
jirasoftware,3,0.745671784,0.894146214,0.360939827,0.413997138,,,,
jirasoftware,3,0.7583766,0.894742708,0.414722344,0.338581383,,,,
jirasoftware,3,0.785141207,0.913790246,0.341733904,0.358150604,,,,
jirasoftware,3,0.768547378,0.895315969,0.432039987,0.460033097,,,,
jirasoftware,4,0.793441417,0.92071583,0.256774405,0.240889621,0.791107836,0.922150729,0.389700171,0.388543943
jirasoftware,4,0.780821504,0.909903545,0.409335951,0.466967148,,,,
jirasoftware,4,0.785202928,0.923593273,0.479743439,0.45551146,,,,
jirasoftware,4,0.784044788,0.9190479,0.401089654,0.40624271,,,,
jirasoftware,4,0.796380342,0.925193899,0.440883923,0.452301941,,,,
jirasoftware,4,0.796249123,0.918127643,0.376067476,0.435979733,,,,
jirasoftware,4,0.78505423,0.914677486,0.414358558,0.410022117,,,,
jirasoftware,4,0.79407598,0.929489671,0.38561507,0.394791351,,,,
jirasoftware,4,0.79432,0.92429203,0.412784966,0.405055033,,,,
jirasoftware,4,0.794001722,0.931261002,0.423909526,0.419626717,,,,
jirasoftware,4,0.785854156,0.912178912,0.403799694,0.407729097,,,,
jirasoftware,4,0.803239761,0.920522521,0.390476177,0.411628596,,,,
jirasoftware,4,0.78261762,0.929026948,0.336811472,0.323288839,,,,
jirasoftware,4,0.80343728,0.925355577,0.415655018,0.403953192,,,,
jirasoftware,4,0.805509238,0.928114014,0.420703358,0.371812744,,,,
jirasoftware,4,0.790511779,0.921008726,0.322968374,0.280552101,,,,
jirasoftware,4,0.781586351,0.92749438,0.401881923,0.370041802,,,,
jirasoftware,4,0.788092132,0.919114829,0.385148935,0.375977168,,,,
jirasoftware,4,0.786804671,0.919504677,0.397606594,0.391324354,,,,
jirasoftware,4,0.7909117,0.924391722,0.318388903,0.347183132,,,,
jirasoftware,5,0.802991055,0.935212822,0.346290757,0.382697607,0.802550127,0.934827906,0.369448816,0.371539256
jirasoftware,5,0.814628838,0.93717254,0.367742808,0.390274118,,,,
jirasoftware,5,0.800620618,0.931498136,0.378227375,0.373608646,,,,
jirasoftware,5,0.789686559,0.923828577,0.378433648,0.371074714,,,,
jirasoftware,5,0.790741872,0.934537759,0.320548342,0.368909021,,,,
jirasoftware,5,0.807159962,0.934969707,0.395798139,0.376275252,,,,
jirasoftware,5,0.801334989,0.934771502,0.328662218,0.342835019,,,,
jirasoftware,5,0.801736466,0.92449685,0.330890187,0.345375174,,,,
jirasoftware,5,0.805976038,0.939950778,0.386223169,0.454489289,,,,
jirasoftware,5,0.805671899,0.933121858,0.378171322,0.392216848,,,,
jirasoftware,5,0.808060523,0.933062736,0.385439232,0.360427304,,,,
jirasoftware,5,0.799691171,0.933924219,0.426340283,0.44568068,,,,
jirasoftware,5,0.798086639,0.939049627,0.310190822,0.327219246,,,,
jirasoftware,5,0.805414895,0.937654367,0.413903323,0.415679146,,,,
jirasoftware,5,0.801915104,0.940857471,0.376738489,0.324624859,,,,
jirasoftware,5,0.806251414,0.936441958,0.401831049,0.35296131,,,,
jirasoftware,5,0.800672655,0.936264542,0.380566976,0.395858797,,,,
jirasoftware,5,0.803854022,0.937327841,0.369848979,0.341241702,,,,
jirasoftware,5,0.802316224,0.935294396,0.360800424,0.32843509,,,,
jirasoftware,5,0.804191592,0.937120425,0.352328771,0.340901293,,,,
jirasoftware,10,0.830099223,0.957352547,0.381746611,0.375857026,0.830535308,0.960572363,0.369581076,0.356547508
jirasoftware,10,0.826168991,0.959344484,0.353532025,0.311774846,,,,
jirasoftware,10,0.834135934,0.960009481,0.372459077,0.39508644,,,,
jirasoftware,10,0.830009812,0.960013279,0.364124299,0.353873927,,,,
jirasoftware,10,0.831431317,0.963067731,0.369194466,0.358934106,,,,
jirasoftware,10,0.835643714,0.961196556,0.392372147,0.355470118,,,,
jirasoftware,10,0.824658747,0.961680116,0.37724999,0.36280191,,,,
jirasoftware,10,0.83664449,0.962136098,0.370989618,0.353499297,,,,
jirasoftware,10,0.826020178,0.955663937,0.391882024,0.360381858,,,,
jirasoftware,10,0.828671153,0.958871198,0.369566007,0.326512811,,,,
jirasoftware,10,0.836206879,0.960550809,0.379416304,0.36475549,,,,
jirasoftware,10,0.82741734,0.957754472,0.396869307,0.418253649,,,,
jirasoftware,10,0.820937315,0.963669102,0.361067366,0.35258372,,,,
jirasoftware,10,0.839276819,0.9625328,0.37582607,0.336601954,,,,
jirasoftware,10,0.828423105,0.962824874,0.36671451,0.393298139,,,,
jirasoftware,10,0.828983748,0.959004201,0.372893988,0.410131946,,,,
jirasoftware,10,0.834236458,0.96228827,0.337618756,0.343040978,,,,
jirasoftware,10,0.828879664,0.958662994,0.373416632,0.333532562,,,,
jirasoftware,10,0.833192443,0.961630561,0.32586163,0.272830881,,,,
jirasoftware,10,0.829668822,0.963193752,0.3588207,0.351728508,,,,
